 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2025
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"2025";"Total"
"250090 Arara";1;1
"250140 Baía da Traição";1;1
"250157 Barra de Santana";1;1
"250180 Bayeux";2;2
"250205 Bernardino Batista";1;1
"250300 Caaporã";1;1
"250320 Cabedelo";6;6
"250370 Cajazeiras";6;6
"250400 Campina Grande";54;54
"250420 Catingueira";1;1
"250430 Catolé do Rocha";1;1
"250440 Conceição";1;1
"250490 Cruz do Espírito Santo";1;1
"250580 Duas Estradas";1;1
"250600 Esperança";1;1
"250690 Itabaiana";2;2
"250710 Itapororoca";2;2
"250750 João Pessoa";231;231
"250770 Juazeirinho";1;1
"250830 Lagoa Seca";1;1
"250890 Mamanguape";3;3
"251080 Patos";26;26
"251120 Pedras de Fogo";1;1
"251130 Piancó";1;1
"251190 Pitimbu";1;1
"251207 Poço de José de Moura";1;1
"251230 Princesa Isabel";1;1
"251370 Santa Rita";19;19
"251600 Solânea";1;1
"251620 Sousa";2;2
"251700 Umbuzeiro";1;1
"Total";373;373
