 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Mato Grosso do Sul
Período:2020
"Município (Res)";"Masculino";"Feminino";"Total"
"500060 Amambaí";3;3;6
"500070 Anastácio";4;2;6
"500100 Aparecida do Taboado";0;1;1
"500124 Aral Moreira";0;1;1
"500190 Bataguassu";0;1;1
"500210 Bela Vista";1;0;1
"500220 Bonito";0;3;3
"500230 Brasilândia";1;0;1
"500240 Caarapó";1;0;1
"500260 Camapuã";2;0;2
"500270 Campo Grande";137;52;189
"500290 Cassilândia";2;2;4
"500295 Chapadão do Sul";1;0;1
"500315 Coronel Sapucaia";1;2;3
"500320 Corumbá";5;11;16
"500325 Costa Rica";3;0;3
"500330 Coxim";4;3;7
"500370 Dourados";53;17;70
"500375 Eldorado";1;1;2
"500380 Fátima do Sul";1;0;1
"500430 Iguatemi";2;0;2
"500450 Itaporã";1;0;1
"500470 Ivinhema";1;0;1
"500480 Japorã";3;1;4
"500500 Jardim";6;5;11
"500540 Maracaju";1;0;1
"500560 Miranda";0;1;1
"500568 Mundo Novo";1;0;1
"500570 Naviraí";16;4;20
"500580 Nioaque";1;0;1
"500620 Nova Andradina";12;2;14
"500625 Novo Horizonte do Sul";1;0;1
"500630 Paranaíba";9;0;9
"500640 Pedro Gomes";0;1;1
"500660 Ponta Porã";17;6;23
"500690 Porto Murtinho";2;0;2
"500710 Ribas do Rio Pardo";3;0;3
"500740 Rio Verde de Mato Grosso";0;2;2
"500769 São Gabriel do Oeste";2;1;3
"500770 Sete Quedas";1;0;1
"500790 Sidrolândia";0;1;1
"500800 Terenos";0;1;1
"500830 Três Lagoas";19;8;27
"Total";318;132;450
