 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2024
Ano Notificação: 2024
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"430003 Aceguá";1;0;0;0;0;0;1
"430040 Alegrete";10;0;0;1;0;0;11
"430060 Alvorada";41;18;1;6;0;1;67
"430085 Arambaré";1;0;0;0;0;0;1
"430110 Arroio dos Ratos";2;0;0;0;0;0;2
"430130 Arroio Grande";2;0;0;0;0;0;2
"430160 Bagé";13;2;0;1;0;0;16
"430163 Balneário Pinhal";1;2;0;0;0;0;3
"430190 Barra do Ribeiro";1;0;0;1;0;0;2
"430210 Bento Gonçalves";19;2;1;4;0;0;26
"430230 Bom Jesus";1;0;0;0;0;0;1
"430280 Caçapava do Sul";2;1;0;1;0;0;4
"430290 Cacequi";0;0;0;1;0;0;1
"430300 Cachoeira do Sul";14;2;2;0;0;1;19
"430310 Cachoeirinha";31;4;0;1;0;0;36
"430330 Caibaté";1;0;0;0;0;0;1
"430350 Camaquã";19;0;1;0;0;0;20
"430370 Campina das Missões";1;0;0;0;0;0;1
"430390 Campo Bom";6;0;0;2;0;0;8
"430400 Campo Novo";1;0;0;0;0;0;1
"430435 Candiota";1;0;0;0;0;0;1
"430440 Canela";16;0;0;4;0;0;20
"430450 Canguçu";4;0;0;0;0;0;4
"430460 Canoas";92;14;0;19;0;0;125
"430463 Capão da Canoa";23;2;0;2;0;0;27
"430466 Capão do Leão";3;0;2;0;0;0;5
"430470 Carazinho";19;0;1;3;0;0;23
"430480 Carlos Barbosa";2;0;0;0;0;0;2
"430510 Caxias do Sul";67;7;1;19;0;0;94
"430512 Cerrito";1;0;0;0;0;0;1
"430515 Cerro Grande";1;0;0;0;0;0;1
"430530 Chapada";1;0;0;0;0;0;1
"430535 Charqueadas";17;4;0;3;0;0;24
"430545 Cidreira";2;0;0;0;0;0;2
"430600 Crissiumal";1;0;0;0;0;0;1
"430610 Cruz Alta";22;1;0;1;0;0;24
"430640 Dois Irmãos";1;0;0;0;0;0;1
