 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2019
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"500020 Água Clara";0;0;0;0;1;0;0;1;0;0;0;2
"500060 Amambaí";0;0;0;0;0;1;1;1;0;0;0;3
"500070 Anastácio";0;0;0;0;2;2;0;0;0;0;0;4
"500085 Angélica";0;0;0;0;0;2;0;0;0;0;0;2
"500090 Antônio João";0;0;0;0;0;0;0;0;1;0;0;1
"500100 Aparecida do Taboado";0;0;0;0;1;1;0;0;0;0;0;2
"500110 Aquidauana";0;0;0;1;1;2;1;0;1;0;0;6
"500124 Aral Moreira";0;0;0;0;0;0;1;0;1;0;0;2
"500150 Bandeirantes";0;0;0;0;0;1;0;0;0;0;0;1
"500190 Bataguassu";0;0;0;0;0;0;1;0;0;0;0;1
"500210 Bela Vista";0;0;0;0;0;0;0;0;1;0;0;1
"500240 Caarapó";0;0;0;0;1;0;2;0;0;0;0;3
"500270 Campo Grande";1;1;1;6;98;87;68;43;17;2;1;325
"500280 Caracol";0;0;0;0;0;0;0;0;0;1;0;1
"500290 Cassilândia";0;0;0;0;1;0;1;1;0;0;0;3
"500295 Chapadão do Sul";0;0;0;0;0;1;0;0;0;0;0;1
"500315 Coronel Sapucaia";0;0;0;0;0;0;0;1;0;0;0;1
"500320 Corumbá";1;0;0;1;8;8;6;4;2;0;0;30
"500325 Costa Rica";0;0;0;0;3;0;1;0;0;0;0;4
"500330 Coxim";0;0;0;0;5;5;6;1;2;1;0;20
"500370 Dourados";0;0;0;3;41;23;25;9;4;2;1;108
"500375 Eldorado";0;0;0;0;0;2;2;0;0;0;0;4
"500430 Iguatemi";0;0;0;0;0;1;0;0;0;0;0;1
"500460 Itaquiraí";0;0;0;1;0;0;0;0;0;0;0;1
"500470 Ivinhema";0;0;0;0;2;0;0;0;0;0;0;2
"500500 Jardim";0;0;0;0;1;2;3;0;2;0;0;8
"500520 Ladário";0;0;0;0;0;0;1;0;0;0;0;1
"500540 Maracaju";0;0;0;0;0;1;0;0;1;0;0;2
"500568 Mundo Novo";0;0;0;0;0;0;0;2;0;0;0;2
"500570 Naviraí";0;0;0;3;8;3;4;5;1;0;0;24
"500580 Nioaque";0;0;0;0;0;0;1;0;0;0;0;1
"500600 Nova Alvorada do Sul";0;0;0;0;0;0;2;0;0;0;0;2
"500620 Nova Andradina";0;0;0;0;4;1;3;4;0;0;0;12
"500630 Paranaíba";0;0;0;1;3;5;4;1;0;2;0;16
"500640 Pedro Gomes";0;0;0;0;0;0;0;1;0;0;0;1
"500660 Ponta Porã";2;1;0;1;13;18;6;3;1;0;0;45
"500690 Porto Murtinho";0;0;0;0;0;0;0;1;0;0;0;1
"500710 Ribas do Rio Pardo";0;0;0;0;1;0;0;0;0;0;0;1
"500720 Rio Brilhante";0;0;0;0;0;0;1;0;1;0;0;2
"500730 Rio Negro";0;0;0;0;0;0;1;1;0;0;0;2
"500740 Rio Verde de Mato Grosso";0;0;0;0;1;2;1;1;0;0;1;6
"500769 São Gabriel do Oeste";0;0;0;0;1;1;0;0;0;0;0;2
"500770 Sete Quedas";0;0;0;0;0;0;0;1;0;0;0;1
"500790 Sidrolândia";0;0;0;0;1;1;0;0;0;0;0;2
"500830 Três Lagoas";0;0;0;1;7;7;12;6;2;0;1;36
"Total";4;2;1;18;204;177;154;87;37;8;4;696
