 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Mato Grosso
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"510020 Água Boa";0;0;0;3;2;0;2;1;3;11
"510025 Alta Floresta";0;1;0;3;2;4;5;2;1;18
"510050 Alto Paraguai";0;1;0;0;0;0;0;0;0;1
"510140 Aripuanã";0;0;0;1;1;0;0;0;0;2
"510180 Barra do Garças";0;0;0;1;2;2;6;1;1;13
"510250 Cáceres";0;3;0;1;3;3;4;0;3;17
"510263 Campo Novo do Parecis";1;1;0;0;4;1;5;0;0;12
"510268 Campos de Júlio";0;0;0;1;0;0;1;0;1;3
"510270 Canarana";0;0;0;2;1;2;1;0;0;6
"510279 Carlinda";0;0;0;0;1;0;0;0;0;1
"510300 Chapada dos Guimarães";0;0;0;0;1;0;0;0;1;2
"510305 Cláudia";0;0;0;0;0;0;1;0;0;1
"510320 Colíder";0;0;0;1;0;1;0;0;0;2
"510335 Confresa";0;0;0;1;0;2;8;0;1;12
"510340 Cuiabá";2;4;1;17;6;34;52;13;31;160
"510350 Diamantino";0;0;1;0;0;2;1;0;0;4
"510385 Gaúcha do Norte";0;0;0;1;0;0;0;0;0;1
"510410 Guarantã do Norte";0;0;0;0;0;0;1;1;0;2
"510460 Itiquira";0;0;0;0;0;0;1;0;0;1
"510480 Jaciara";0;0;0;0;0;1;0;0;0;1
"510510 Juara";0;0;0;2;2;0;2;0;0;6
"510515 Juína";0;1;0;2;0;3;2;1;0;9
"510525 Lucas do Rio Verde";1;0;0;0;0;0;0;0;0;1
"510562 Mirassol d'Oeste";0;0;0;0;0;1;0;0;0;1
"510590 Nobres";0;1;0;0;0;0;0;0;0;1
"510610 Nossa Senhora do Livramento";0;0;0;0;1;0;0;0;0;1
"510895 Nova Monte Verde";0;0;0;0;0;0;0;1;0;1
"510622 Nova Mutum";0;1;0;1;1;2;3;0;0;8
"510625 Nova Xavantina";1;0;0;2;0;1;3;0;0;7
"510627 Novo Horizonte do Norte";0;1;0;0;0;0;0;0;0;1
"510630 Paranatinga";0;0;0;1;1;1;0;0;0;3
"510642 Peixoto de Azevedo";1;0;0;4;0;1;3;0;0;9
"510675 Pontes e Lacerda";0;0;0;1;1;0;0;0;0;2
"510704 Primavera do Leste";1;0;1;3;0;1;2;0;3;11
"510706 Querência";0;0;0;1;0;1;1;0;0;3
"510718 Ribeirão Cascalheira";0;0;0;0;1;0;0;0;0;1
"510760 Rondonópolis";1;5;2;17;3;10;14;3;5;60
"510770 Rosário Oeste";0;0;0;1;0;0;0;0;0;1
"510776 Santa Rita do Trivelato";1;0;0;1;0;0;0;0;0;2
"510785 São Félix do Araguaia";0;0;0;0;0;0;0;0;1;1
"510790 Sinop";3;4;0;5;5;12;11;1;5;46
"510792 Sorriso";1;0;0;9;2;7;3;0;0;22
"510795 Tangará da Serra";1;0;1;5;0;4;6;0;2;19
"510840 Várzea Grande";5;2;3;11;7;17;28;7;9;89
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;0;0;1;0;0;1
"Total";19;25;9;98;47;113;167;31;67;576
