 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"510020 Água Boa";5;0;0;6;0;0;11
"510025 Alta Floresta";9;2;0;8;0;0;19
"510050 Alto Paraguai";1;0;0;0;0;0;1
"510130 Arenápolis";0;0;0;1;0;0;1
"510140 Aripuanã";0;0;0;2;0;0;2
"510170 Barra do Bugres";1;0;0;0;0;0;1
"510180 Barra do Garças";6;1;0;8;0;0;15
"510250 Cáceres";2;0;0;15;0;0;17
"510263 Campo Novo do Parecis";3;1;1;7;0;0;12
"510268 Campos de Júlio";1;0;0;2;0;0;3
"510270 Canarana";3;0;0;3;0;0;6
"510279 Carlinda";0;0;0;1;0;0;1
"510300 Chapada dos Guimarães";1;0;0;1;0;0;2
"510305 Cláudia";1;0;0;0;0;0;1
"510320 Colíder";1;0;0;1;0;0;2
"510335 Confresa";3;0;0;6;3;0;12
"510340 Cuiabá";38;23;2;116;0;0;179
"510350 Diamantino";0;0;0;6;0;0;6
"510385 Gaúcha do Norte";0;0;0;1;0;0;1
"510410 Guarantã do Norte";0;0;0;2;0;0;2
"510460 Itiquira";0;0;0;2;0;0;2
"510480 Jaciara";0;0;0;1;0;0;1
"510510 Juara";0;1;0;5;0;0;6
"510515 Juína";3;0;0;6;0;0;9
"510525 Lucas do Rio Verde";1;0;0;0;0;0;1
"510562 Mirassol d'Oeste";0;1;0;0;0;0;1
"510590 Nobres";0;0;0;1;0;0;1
"510610 Nossa Senhora do Livramento";0;0;0;1;0;0;1
"510895 Nova Monte Verde";1;0;0;0;0;0;1
"510622 Nova Mutum";4;0;0;5;0;0;9
"510625 Nova Xavantina";0;0;0;7;0;0;7
"510627 Novo Horizonte do Norte";0;0;0;1;0;0;1
"510630 Paranatinga";0;0;0;3;0;0;3
"510642 Peixoto de Azevedo";4;0;0;6;0;0;10
"510675 Pontes e Lacerda";0;0;0;2;0;0;2
"510704 Primavera do Leste";3;2;0;11;0;0;16
"510706 Querência";0;0;0;4;0;0;4
"510718 Ribeirão Cascalheira";1;0;0;0;0;0;1
"510760 Rondonópolis";13;3;3;42;0;0;61
"510770 Rosário Oeste";0;0;0;3;0;0;3
"510776 Santa Rita do Trivelato";0;0;0;1;1;0;2
"510785 São Félix do Araguaia";0;0;0;1;0;0;1
"510790 Sinop";9;3;0;37;0;1;50
"510792 Sorriso";6;3;0;13;0;0;22
"510794 Tabaporã";0;0;0;1;0;0;1
"510795 Tangará da Serra";6;2;0;17;0;1;26
"510840 Várzea Grande";13;10;0;71;0;0;94
"510550 Vila Bela da Santíssima Trindade";0;0;0;1;0;0;1
"Total";139;52;6;428;4;2;631
