 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"430040 Alegrete";0;6;3;4;4;2;4;0;1;0;24
"430047 Almirante Tamandaré do Sul";0;0;0;0;0;1;0;0;0;0;1
"430050 Alpestre";1;0;0;0;0;0;0;0;0;0;1
"430060 Alvorada";2;9;1;22;7;4;10;0;2;0;57
"430064 Ametista do Sul";0;0;0;0;0;0;1;0;0;0;1
"430100 Arroio do Meio";0;0;0;0;0;1;0;0;0;0;1
"430105 Arroio do Sal";0;0;0;0;0;1;1;0;0;0;2
"430110 Arroio dos Ratos";0;1;0;0;0;0;0;1;0;0;2
"430150 Augusto Pestana";0;0;0;0;1;0;0;0;0;0;1
"430160 Bagé";0;8;6;7;6;1;0;1;2;0;31
"430163 Balneário Pinhal";0;0;0;0;0;1;0;0;0;0;1
"430175 Barão do Triunfo";0;0;0;1;0;0;0;0;0;0;1
"430192 Barra do Rio Azul";0;0;0;0;0;0;1;0;0;0;1
"430210 Bento Gonçalves";0;1;2;11;4;6;6;2;2;0;34
"430230 Bom Jesus";0;0;0;2;0;0;1;0;0;0;3
"430250 Bossoroca";0;0;0;0;0;0;0;0;1;0;1
"430280 Caçapava do Sul";0;1;0;0;0;1;0;0;2;0;4
"430290 Cacequi";0;1;0;0;0;0;0;0;0;0;1
"430300 Cachoeira do Sul";1;5;0;5;1;0;2;1;0;0;15
"430310 Cachoeirinha";1;2;0;10;6;6;4;3;1;0;33
"430320 Cacique Doble";0;0;1;0;0;0;1;0;0;0;2
"430350 Camaquã";1;2;1;3;2;5;2;1;0;0;17
"430390 Campo Bom";0;0;0;6;0;1;4;0;1;0;12
"430420 Candelária";0;0;0;1;0;0;0;0;0;0;1
"430435 Candiota";0;0;1;0;0;0;0;0;0;0;1
"430440 Canela";0;0;0;2;0;0;1;1;0;0;4
"430460 Canoas";2;15;2;35;16;7;26;6;4;0;113
"430463 Capão da Canoa";0;0;3;6;0;3;0;0;0;0;12
"430465 Capão do Cipó";0;0;0;0;1;0;0;0;0;0;1
"430470 Carazinho";0;1;0;3;1;2;1;1;0;0;9
"430480 Carlos Barbosa";0;0;0;3;0;0;0;0;0;0;3
"430495 Caseiros";0;0;0;1;0;0;0;0;0;0;1
"430510 Caxias do Sul";2;7;5;23;14;18;31;4;8;0;112
"430513 Cerro Branco";0;0;1;0;0;0;0;0;0;0;1
"430520 Cerro Largo";0;0;0;1;0;3;0;0;0;0;4
