 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2025
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"2025";"Total"
"210005 Açailândia";5;5
"210043 Alto Alegre do Maranhão";3;3
"210080 Anapurus";1;1
"210090 Araioses";1;1
"210095 Arame";1;1
"210110 Axixá";1;1
"210120 Bacabal";37;37
"210125 Bacabeira";1;1
"210130 Bacuri";1;1
"210140 Balsas";37;37
"210160 Barra do Corda";11;11
"210170 Barreirinhas";6;6
"210190 Bequimão";2;2
"210210 Brejo";1;1
"210230 Buriti Bravo";1;1
"210232 Buriticupu";1;1
"210240 Cajapió";1;1
"210250 Cajari";1;1
"210290 Carutapera";1;1
"210300 Caxias";19;19
"210320 Chapadinha";1;1
"210330 Codó";26;26
"210340 Coelho Neto";4;4
"210360 Coroatá";13;13
"210370 Cururupu";7;7
"210405 Estreito";1;1
"210410 Fortaleza dos Nogueiras";1;1
"210420 Fortuna";2;2
"210450 Governador Archer";1;1
"210465 Governador Newton Bello";1;1
"210467 Governador Nunes Freire";1;1
"210480 Grajaú";7;7
"210510 Icatu";1;1
"210530 Imperatriz";156;156
"210540 Itapecuru Mirim";9;9
"210547 Jenipapo dos Vieiras";1;1
"210560 Joselândia";1;1
"210565 Junco do Maranhão";2;2
"210570 Lago da Pedra";1;1
"210594 Lago dos Rodrigues";1;1
"210620 Luís Domingues";1;1
"210660 Matões";1;1
"210670 Mirador";1;1
"210750 Paço do Lumiar";5;5
"210760 Palmeirândia";1;1
"210820 Pedreiras";8;8
"210860 Pinheiro";36;36
"210880 Pirapemas";3;3
"210927 Presidente Sarney";1;1
"210970 Sambaíba";1;1
"210980 Santa Helena";1;1
"210990 Santa Inês";24;24
"211000 Santa Luzia";1;1
"211060 São Bernardo";3;3
"211085 São Francisco do Brejão";1;1
"211120 São José de Ribamar";40;40
"211130 São Luís";426;426
"211150 São Mateus do Maranhão";7;7
"211174 Senador Alexandre Costa";1;1
"211178 Serrano do Maranhão";1;1
"211220 Timon";29;29
"211227 Tufilândia";1;1
"211245 Turilândia";2;2
"211250 Tutóia";1;1
"211290 Vitória do Mearim";1;1
"211400 Zé Doca";1;1
"Total";967;967
