 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2021
"Município (Res)";"< 1 ano";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"510010 Acorizal";0;0;0;0;0;1;0;0;0;0;1
"510020 Água Boa";0;0;0;2;2;3;1;1;0;0;9
"510025 Alta Floresta";0;0;1;3;3;1;1;0;1;0;10
"510040 Alto Garças";0;0;0;0;1;0;0;0;0;0;1
"510060 Alto Taquari";0;0;0;1;0;0;1;0;0;0;2
"510080 Apiacás";0;0;0;0;0;1;0;0;0;0;1
"510125 Araputanga";0;0;0;1;1;1;1;1;0;0;5
"510140 Aripuanã";0;0;0;1;0;0;0;0;0;0;1
"510170 Barra do Bugres";0;0;0;1;0;1;0;0;0;0;2
"510180 Barra do Garças";0;0;0;1;1;1;2;0;0;0;5
"510250 Cáceres";0;0;1;4;6;4;2;3;0;0;20
"510263 Campo Novo do Parecis";0;0;0;2;0;2;0;0;0;0;4
"510267 Campo Verde";0;0;2;2;3;1;0;1;0;0;9
"510268 Campos de Júlio";0;0;0;1;0;0;0;0;1;0;2
"510269 Canabrava do Norte";0;0;0;0;0;1;0;0;0;0;1
"510270 Canarana";0;0;0;0;1;1;0;1;0;0;3
"510285 Castanheira";0;0;0;1;0;0;0;0;0;0;1
"510300 Chapada dos Guimarães";0;0;0;0;0;0;1;0;0;0;1
"510320 Colíder";0;0;0;0;1;0;1;0;0;0;2
"510335 Confresa";0;0;2;3;4;1;1;0;0;0;11
"510340 Cuiabá";1;1;2;59;44;49;20;10;2;1;189
"510350 Diamantino";0;0;0;2;2;2;0;0;0;0;6
"510360 Dom Aquino";0;0;0;1;0;2;1;0;0;0;4
"510370 Feliz Natal";0;0;0;0;1;0;2;0;0;0;3
"510410 Guarantã do Norte";0;0;0;2;0;1;2;0;0;0;5
"510420 Guiratinga";0;0;0;1;0;0;0;0;0;0;1
"510460 Itiquira";0;0;0;0;0;0;1;1;0;0;2
"510480 Jaciara";0;0;0;2;2;1;1;0;0;0;6
"510490 Jangada";0;0;0;0;1;0;1;0;0;0;2
"510510 Juara";0;0;0;2;2;5;0;0;0;0;9
"510515 Juína";0;0;0;1;5;1;0;1;0;0;8
"510520 Juscimeira";0;0;0;0;1;0;0;0;0;0;1
"510525 Lucas do Rio Verde";0;0;0;1;0;1;1;0;0;0;3
"510560 Matupá";0;0;0;0;1;0;0;0;0;0;1
"510562 Mirassol d'Oeste";0;0;0;1;1;0;1;0;0;0;3
"510590 Nobres";0;0;0;1;0;2;0;0;0;0;3
"510610 Nossa Senhora do Livramento";0;0;0;0;1;0;0;0;0;0;1
"510622 Nova Mutum";0;0;0;1;3;0;1;1;0;0;6
"510617 Nova Nazaré";0;0;0;0;1;0;0;0;0;0;1
"510625 Nova Xavantina";0;0;1;0;0;1;0;0;0;0;2
"510630 Paranatinga";0;0;0;0;2;0;0;0;0;0;2
"510637 Pedra Preta";0;0;0;0;0;1;1;0;0;0;2
"510642 Peixoto de Azevedo";0;0;0;0;1;0;2;1;0;0;4
"510650 Poconé";0;0;0;0;0;1;0;0;0;1;2
"510675 Pontes e Lacerda";0;0;0;3;2;1;0;0;0;0;6
"510677 Porto Alegre do Norte";0;0;0;0;0;1;0;0;0;0;1
"510680 Porto dos Gaúchos";0;0;0;0;0;0;1;0;0;0;1
"510700 Poxoréo";0;0;0;0;2;0;0;0;0;0;2
"510704 Primavera do Leste";0;0;0;1;2;3;0;2;0;0;8
"510706 Querência";0;0;0;0;0;1;0;0;0;0;1
"510719 Ribeirãozinho";0;0;0;0;0;1;0;0;0;0;1
"510760 Rondonópolis";0;0;4;31;18;18;16;5;0;0;92
"510770 Rosário Oeste";0;0;0;0;0;1;0;0;0;0;1
"510776 Santa Rita do Trivelato";0;0;0;0;1;0;0;0;0;0;1
"510779 Santo Antônio do Leste";0;0;0;0;1;0;0;0;0;0;1
"510780 Santo Antônio do Leverger";0;0;0;0;0;1;0;0;0;0;1
"510785 São Félix do Araguaia";0;0;0;0;0;0;1;0;0;0;1
"510730 São José do Rio Claro";0;0;0;0;1;2;0;0;0;0;3
"510710 São José dos Quatro Marcos";0;0;0;0;1;2;0;0;0;0;3
"510740 São Pedro da Cipa";0;0;0;0;2;0;0;0;0;0;2
"510787 Sapezal";0;0;0;0;1;1;0;0;0;0;2
"510790 Sinop";0;0;1;13;10;3;1;3;1;0;32
"510792 Sorriso";0;0;1;7;5;3;6;0;0;0;22
"510795 Tangará da Serra";0;0;2;10;6;6;8;0;0;0;32
"510800 Tapurah";0;0;0;0;2;0;0;0;0;0;2
"510840 Várzea Grande";0;0;7;28;15;25;10;1;2;0;88
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;0;0;0;1;0;0;1
"510860 Vila Rica";0;0;0;0;0;0;1;0;0;0;1
"Total";1;1;24;190;160;155;89;33;7;2;662
