 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"420140 Araranguá";0;0;0;3;1;3;1;0;1;9
"420195 Balneário Arroio do Silva";0;0;1;1;0;0;1;0;0;3
"420200 Balneário Camboriú";1;1;0;8;5;8;23;4;9;59
"420210 Barra Velha";1;0;0;0;1;1;1;0;2;6
"420230 Biguaçu";1;1;1;1;0;1;3;1;4;13
"420240 Blumenau";6;2;4;8;8;9;25;4;10;76
"420245 Bombinhas";0;0;0;0;0;0;6;0;1;7
"420280 Braço do Norte";0;0;0;1;0;1;0;0;0;2
"420290 Brusque";0;1;1;4;0;5;9;3;4;27
"420300 Caçador";1;0;0;0;1;0;3;1;2;8
"420320 Camboriú";1;1;0;2;3;4;4;0;5;20
"420340 Campo Belo do Sul";0;1;0;0;0;0;0;0;0;1
"420360 Campos Novos";0;1;1;0;1;1;0;0;0;4
"420380 Canoinhas";0;0;0;2;0;0;0;1;0;3
"420390 Capinzal";0;0;0;0;2;0;1;0;0;3
"420395 Capivari de Baixo";0;1;0;0;0;1;0;0;0;2
"420420 Chapecó";1;3;2;6;2;4;11;3;4;36
"420430 Concórdia";1;0;2;3;6;2;7;0;1;22
"420460 Criciúma";1;2;0;14;1;5;17;1;10;51
"420480 Curitibanos";1;1;0;5;1;3;2;0;0;13
"420540 Florianópolis";7;8;0;10;6;21;32;4;44;132
"420545 Forquilhinha";0;0;0;0;1;3;0;0;0;4
"420550 Fraiburgo";0;1;0;0;1;0;2;0;1;5
"420570 Garopaba";0;0;0;1;0;0;0;0;1;2
"420580 Garuva";0;0;0;0;0;0;0;0;1;1
"420590 Gaspar";0;0;0;0;1;0;3;0;0;4
"420600 Governador Celso Ramos";0;0;0;0;0;0;1;0;0;1
"420630 Guabiruba";0;0;0;1;0;0;0;0;0;1
"420650 Guaramirim";0;0;0;0;0;1;1;0;0;2
"420670 Herval d'Oeste";0;1;0;1;0;1;0;0;0;3
"420680 Ibicaré";0;0;0;0;0;0;1;0;0;1
"420690 Ibirama";0;0;1;0;0;0;0;0;0;1
"420700 Içara";1;0;0;2;0;1;2;0;1;7
"420730 Imbituba";0;0;0;3;0;1;4;1;1;10
"420750 Indaial";4;0;0;0;0;1;1;0;0;6
"420820 Itajaí";6;4;2;13;5;12;23;2;7;74
"420830 Itapema";0;0;0;2;0;1;3;1;3;10
"420880 Jaguaruna";0;0;1;0;1;0;0;0;1;3
"420890 Jaraguá do Sul";2;2;1;4;0;4;2;2;5;22
"420900 Joaçaba";0;2;1;1;0;0;1;0;0;5
"420910 Joinville";11;3;1;22;6;24;35;5;13;120
"420930 Lages";3;0;4;10;2;6;20;2;0;47
"420940 Laguna";1;0;0;1;1;1;3;0;0;7
"420960 Lauro Muller";0;0;0;0;0;1;0;0;0;1
"420980 Leoberto Leal";0;0;0;0;0;0;1;0;0;1
"421010 Mafra";1;1;1;0;3;0;1;1;0;8
"421030 Major Vieira";0;1;0;0;0;0;1;0;0;2
"421050 Maravilha";0;0;0;0;0;0;1;0;0;1
"421100 Mondaí";0;0;0;0;0;1;0;0;0;1
"421120 Morro da Fumaça";1;0;0;0;0;0;0;0;0;1
"421130 Navegantes";1;0;2;1;1;1;10;0;5;21
"421150 Nova Trento";0;0;0;0;0;1;0;0;0;1
"421170 Orleans";0;0;0;0;0;2;0;0;0;2
"421175 Otacílio Costa";0;0;0;0;0;0;1;0;0;1
"421180 Ouro";0;0;0;0;0;0;0;0;1;1
"421190 Palhoça";4;2;1;4;2;3;20;1;4;41
"421210 Palmitos";0;0;0;0;0;0;1;0;0;1
"421220 Papanduva";0;0;0;0;0;1;0;0;0;1
"421225 Passo de Torres";0;1;0;0;0;0;0;0;0;1
"421240 Pedras Grandes";0;0;0;0;0;0;1;0;0;1
"421250 Penha";0;1;0;1;1;1;0;0;1;5
"421280 Piçarras";1;0;0;0;0;0;0;0;2;3
"421315 Planalto Alegre";0;0;0;0;0;0;0;0;1;1
"421320 Pomerode";0;0;0;0;0;0;1;0;0;1
"421340 Ponte Serrada";0;0;0;1;0;0;0;0;0;1
"421350 Porto Belo";0;0;1;0;0;1;2;1;0;5
"421420 Quilombo";0;1;0;0;0;0;0;0;0;1
"421480 Rio do Sul";0;2;0;3;1;5;9;1;1;22
"421500 Rio Negrinho";0;0;0;0;1;0;0;0;1;2
"421545 Sangão";0;0;0;0;0;0;1;0;0;1
"421550 Santa Cecília";0;0;0;1;0;0;1;0;0;2
"421567 Santa Terezinha";0;0;0;0;0;0;0;0;1;1
"421570 Santo Amaro da Imperatriz";0;0;0;0;1;1;0;0;0;2
"421580 São Bento do Sul";1;0;0;1;0;0;1;1;1;5
"421605 São Cristovão do Sul";0;0;0;0;0;0;1;0;0;1
"421620 São Francisco do Sul";0;1;0;1;0;2;4;0;1;9
"421630 São João Batista";3;0;0;2;1;0;2;0;0;8
"421650 São Joaquim";0;0;0;0;0;0;1;0;1;2
"421660 São José";2;6;1;2;1;2;16;1;16;47
"421670 São José do Cedro";0;1;0;0;0;0;0;0;0;1
"421720 São Miguel do Oeste";1;1;0;3;1;1;0;0;2;9
"421725 São Pedro de Alcântara";0;0;0;1;0;1;0;0;1;3
"421730 Saudades";0;0;0;0;0;0;0;0;1;1
"421740 Schroeder";0;0;0;0;0;0;1;0;0;1
"421800 Tijucas";0;1;0;1;0;5;4;0;2;13
"421820 Timbó";0;0;0;1;0;1;1;0;1;4
"421830 Três Barras";0;0;0;0;1;0;0;0;0;1
"421850 Treze Tílias";0;0;1;0;0;0;0;0;0;1
"421870 Tubarão";2;2;0;2;2;0;0;2;3;13
"421880 Turvo";0;0;0;0;1;0;0;0;0;1
"421890 Urubici";0;0;0;1;0;0;0;0;0;1
"421900 Urussanga";0;0;0;0;1;0;1;0;0;2
"421930 Videira";0;0;1;0;1;0;2;0;1;5
"421950 Xanxerê";1;2;1;3;0;3;1;1;1;13
"421970 Xaxim";0;1;0;0;0;0;1;0;0;2
"Total";68;60;32;158;75;158;335;44;179;1109
