 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"420130 Araquari";0;1;1
"420140 Araranguá";7;2;9
"420195 Balneário Arroio do Silva";3;1;4
"420200 Balneário Camboriú";57;11;68
"420207 Balneário Gaivota";1;0;1
"420210 Barra Velha";5;1;6
"420230 Biguaçu";14;5;19
"420240 Blumenau";49;29;78
"420245 Bombinhas";8;1;9
"420280 Braço do Norte";4;0;4
"420290 Brusque";21;7;28
"420300 Caçador";6;3;9
"420320 Camboriú";20;6;26
"420340 Campo Belo do Sul";1;0;1
"420360 Campos Novos";2;2;4
"420380 Canoinhas";2;1;3
"420390 Capinzal";2;2;4
"420395 Capivari de Baixo";2;2;4
"420420 Chapecó";29;11;40
"420430 Concórdia";19;3;22
"420460 Criciúma";45;7;52
"420480 Curitibanos";6;7;13
"420540 Florianópolis";113;37;150
"420545 Forquilhinha";3;1;4
"420550 Fraiburgo";4;1;5
"420570 Garopaba";2;2;4
"420580 Garuva";1;0;1
"420590 Gaspar";3;2;5
"420600 Governador Celso Ramos";2;0;2
"420630 Guabiruba";1;0;1
"420650 Guaramirim";2;0;2
"420670 Herval d'Oeste";3;3;6
"420680 Ibicaré";0;1;1
"420690 Ibirama";0;1;1
"420700 Içara";6;1;7
"420730 Imbituba";9;3;12
"420750 Indaial";5;1;6
"420820 Itajaí";48;29;77
"420830 Itapema";14;2;16
"420880 Jaguaruna";2;1;3
"420890 Jaraguá do Sul";16;6;22
"420900 Joaçaba";3;2;5
"420910 Joinville";91;43;134
"420930 Lages";41;12;53
"420940 Laguna";7;2;9
"420960 Lauro Muller";1;0;1
"420980 Leoberto Leal";1;0;1
"421010 Mafra";6;4;10
"421030 Major Vieira";2;0;2
"421040 Maracajá";1;1;2
"421050 Maravilha";1;0;1
"421100 Mondaí";1;0;1
"421120 Morro da Fumaça";1;0;1
"421130 Navegantes";17;5;22
"421150 Nova Trento";1;0;1
"421170 Orleans";2;0;2
"421175 Otacílio Costa";1;0;1
"421180 Ouro";1;0;1
"421190 Palhoça";26;16;42
"421210 Palmitos";1;0;1
"421220 Papanduva";0;2;2
"421225 Passo de Torres";0;1;1
"421240 Pedras Grandes";0;1;1
"421250 Penha";5;2;7
"421280 Piçarras";2;1;3
"421315 Planalto Alegre";1;0;1
"421320 Pomerode";2;0;2
"421340 Ponte Serrada";2;0;2
"421350 Porto Belo";4;2;6
"421420 Quilombo";0;1;1
"421480 Rio do Sul";8;14;22
"421500 Rio Negrinho";2;0;2
"421545 Sangão";1;0;1
"421550 Santa Cecília";3;3;6
"421567 Santa Terezinha";1;0;1
"421570 Santo Amaro da Imperatriz";2;0;2
"421580 São Bento do Sul";3;2;5
"421605 São Cristovão do Sul";1;0;1
"421620 São Francisco do Sul";5;5;10
"421630 São João Batista";7;1;8
"421650 São Joaquim";2;0;2
"421660 São José";31;19;50
"421670 São José do Cedro";1;0;1
"421720 São Miguel do Oeste";9;2;11
"421725 São Pedro de Alcântara";3;0;3
"421730 Saudades";1;0;1
"421740 Schroeder";1;0;1
"421750 Seara";0;1;1
"421770 Sombrio";2;0;2
"421800 Tijucas";11;2;13
"421820 Timbó";3;1;4
"421830 Três Barras";0;1;1
"421850 Treze Tílias";1;1;2
"421870 Tubarão";13;2;15
"421880 Turvo";1;0;1
"421890 Urubici";1;0;1
"421900 Urussanga";2;0;2
"421930 Videira";3;5;8
"421950 Xanxerê";7;6;13
"421970 Xaxim";2;1;3
"Total";885;354;1239
