 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2022
Ano Notificação: 2022
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"430040 Alegrete";0;0;0;0;0;1;1;6;2;1;0;0;11
"430060 Alvorada";0;1;0;0;0;15;15;27;19;9;2;0;88
"430064 Ametista do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1
"430080 Antônio Prado";0;0;0;0;0;0;1;0;0;0;0;0;1
"430100 Arroio do Meio";0;0;0;0;0;1;0;0;0;0;0;0;1
"430110 Arroio dos Ratos";0;0;0;0;0;2;0;1;0;0;0;0;3
"430130 Arroio Grande";0;0;0;0;1;2;0;0;0;0;0;0;3
"430160 Bagé";0;0;0;0;0;6;13;8;2;5;0;0;34
"430190 Barra do Ribeiro";0;0;0;0;0;1;0;0;0;0;0;0;1
"430200 Barros Cassal";0;0;0;0;0;0;0;1;0;1;0;0;2
"430210 Bento Gonçalves";0;1;0;0;0;10;6;6;2;3;0;0;28
"430240 Bom Retiro do Sul";0;0;0;0;0;0;1;0;2;0;0;0;3
"430250 Bossoroca";0;0;0;0;0;0;0;0;1;0;0;0;1
"430270 Butiá";0;0;0;0;0;1;0;0;0;0;0;0;1
"430280 Caçapava do Sul";0;0;0;0;0;0;1;0;0;0;0;0;1
"430300 Cachoeira do Sul";0;0;0;0;0;3;4;2;3;0;0;0;12
"430310 Cachoeirinha";0;0;0;0;0;11;8;8;6;1;2;0;36
"430350 Camaquã";0;0;0;0;1;4;8;8;4;0;0;0;25
"430390 Campo Bom";0;0;0;0;0;6;4;1;2;2;0;0;15
"430420 Candelária";0;0;0;0;0;0;1;0;0;0;0;0;1
"430435 Candiota";0;0;0;0;0;0;0;0;1;0;0;0;1
"430440 Canela";0;0;0;0;0;2;5;4;6;0;0;0;17
"430450 Canguçu";0;0;0;0;0;1;0;1;0;0;0;0;2
"430460 Canoas";0;3;0;0;3;29;27;28;26;20;3;1;140
"430463 Capão da Canoa";0;0;0;0;0;3;10;10;3;3;0;0;29
"430466 Capão do Leão";0;0;0;0;0;0;2;1;0;0;0;0;3
"430468 Capela de Santana";0;0;0;0;0;0;0;1;1;0;0;0;2
"430470 Carazinho";0;0;0;0;0;2;4;4;0;0;0;0;10
"430480 Carlos Barbosa";0;0;0;0;0;0;1;0;0;0;0;0;1
"430490 Casca";0;0;0;0;0;0;1;1;0;0;0;0;2
"430500 Catuípe";0;0;0;0;0;0;0;1;0;1;0;0;2
"430510 Caxias do Sul";0;0;0;0;0;19;24;20;11;4;1;0;79
"430517 Cerro Grande do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1
"430535 Charqueadas";0;0;0;0;0;2;5;3;5;2;0;0;17
"430570 Condor";0;0;0;0;0;0;1;1;0;0;0;0;2
"430580 Constantina";0;0;0;0;0;0;1;0;0;0;0;0;1
"430600 Crissiumal";0;0;0;0;0;0;0;0;0;0;1;0;1
"430610 Cruz Alta";1;0;0;0;0;6;3;2;2;1;1;0;16
"430620 Cruzeiro do Sul";0;0;0;0;0;0;0;1;1;0;0;0;2
"430640 Dois Irmãos";0;0;0;0;0;0;1;0;1;0;1;0;3
"430660 Dom Pedrito";0;0;0;0;0;4;1;2;4;2;0;0;13
"430676 Eldorado do Sul";0;0;0;0;0;0;3;2;0;0;0;0;5
"430680 Encantado";0;0;0;0;0;0;0;1;0;1;0;0;2
"430690 Encruzilhada do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1
"430700 Erechim";0;0;0;0;0;1;6;2;4;2;2;0;17
"430730 Erval Seco";0;0;0;0;0;0;1;0;0;0;0;0;1
"430760 Estância Velha";0;0;0;0;0;1;1;3;0;0;0;0;5
"430770 Esteio";0;0;0;0;0;3;6;3;8;3;3;0;26
"430780 Estrela";0;0;0;0;0;0;2;4;3;0;0;0;9
"430783 Eugênio de Castro";0;0;0;0;0;1;0;0;0;0;0;0;1
"430790 Farroupilha";0;1;0;0;0;3;4;5;5;0;0;0;18
"430820 Flores da Cunha";0;0;0;0;0;0;1;0;0;1;0;0;2
"430840 Formigueiro";0;0;0;0;0;0;1;0;0;0;0;0;1
"430850 Frederico Westphalen";0;0;0;0;0;2;2;1;1;1;0;0;7
"430860 Garibaldi";0;0;0;0;0;0;0;1;0;0;0;0;1
"430880 General Câmara";0;0;0;0;0;1;0;0;0;0;0;0;1
"430905 Glorinha";0;0;0;0;0;1;0;0;0;0;0;0;1
"430910 Gramado";0;0;0;0;0;0;1;0;2;1;1;0;5
"430920 Gravataí";2;0;1;0;3;4;14;17;13;7;1;0;62
"430930 Guaíba";0;0;0;0;0;3;10;8;5;3;1;0;30
"430940 Guaporé";0;0;0;0;0;0;0;0;1;0;0;0;1
"430950 Guarani das Missões";0;0;0;0;0;0;0;0;0;0;1;0;1
"430710 Herval";0;0;0;0;0;0;1;0;0;0;0;0;1
"430960 Horizontina";0;0;0;0;0;0;1;0;1;0;0;0;2
"431010 Igrejinha";0;0;0;0;0;0;0;5;0;0;0;0;5
"431020 Ijuí";0;1;1;0;0;5;3;5;0;0;0;0;15
"431033 Imbé";0;0;0;0;0;0;0;2;0;0;0;0;2
"431040 Independência";0;0;0;0;0;0;1;0;0;0;0;0;1
"431060 Itaqui";0;0;0;0;1;1;0;1;1;2;0;0;6
"431070 Itatiba do Sul";0;0;0;0;0;0;0;0;1;0;0;0;1
"431080 Ivoti";0;0;0;0;0;0;1;1;0;0;0;0;2
"431100 Jaguarão";0;0;0;0;0;1;1;0;3;0;0;0;5
"431110 Jaguari";0;0;0;0;0;0;1;0;0;0;0;0;1
"431115 Jóia";0;0;0;0;0;0;0;1;0;0;0;0;1
"431130 Lagoa Vermelha";0;0;0;0;0;1;7;4;0;2;3;0;17
"431140 Lajeado";0;1;0;0;0;7;16;9;9;4;1;0;47
"431150 Lavras do Sul";0;0;0;0;0;0;0;0;1;0;0;0;1
"431162 Lindolfo Collor";0;0;0;0;0;0;0;0;0;1;0;0;1
"431177 Maquiné";0;0;0;0;0;0;0;0;1;0;0;0;1
"431180 Marau";0;0;0;0;0;2;0;1;0;0;0;0;3
"431225 Minas do Leão";0;0;0;0;0;0;0;0;1;0;0;0;1
"431230 Miraguaí";0;0;0;0;0;0;0;0;1;0;0;0;1
"431240 Montenegro";0;0;0;0;0;1;8;5;3;1;1;0;19
"431250 Mostardas";0;0;0;0;0;0;0;1;0;0;0;0;1
"431270 Nonoai";0;0;0;0;0;0;0;1;0;0;0;0;1
"431290 Nova Bassano";0;1;0;0;0;0;0;0;1;0;0;0;2
"431330 Nova Prata";0;0;0;0;0;1;1;1;0;0;0;0;3
"431335 Nova Roma do Sul";0;0;0;0;0;0;0;1;1;0;0;0;2
"431337 Nova Santa Rita";0;0;0;0;0;1;1;1;1;2;0;0;6
"431340 Novo Hamburgo";0;0;0;0;0;14;22;13;15;6;1;0;71
"431350 Osório";0;0;0;0;0;6;4;6;1;1;2;0;20
"431365 Palmares do Sul";0;0;0;0;0;1;0;1;0;0;0;0;2
"431370 Palmeira das Missões";0;0;0;0;0;2;1;1;2;0;0;0;6
"431405 Parobé";0;0;0;0;1;4;5;4;1;1;0;0;16
"431406 Passa Sete";0;0;0;0;0;1;0;0;0;0;0;0;1
"431407 Passo do Sobrado";0;0;0;0;0;0;0;1;0;0;0;0;1
"431410 Passo Fundo";0;0;0;0;0;10;15;18;9;2;1;2;57
"431415 Paverama";0;0;0;0;0;0;1;0;0;0;0;0;1
"431420 Pedro Osório";0;0;0;0;0;0;1;0;0;0;2;0;3
"431430 Pejuçara";0;0;0;0;0;0;0;1;0;0;0;0;1
"431440 Pelotas";1;0;0;0;3;27;33;23;2;8;1;1;99
"431442 Picada Café";0;0;0;0;0;0;0;1;0;0;0;0;1
"431449 Pinheirinho do Vale";0;0;0;0;0;0;0;0;1;0;0;0;1
"431450 Pinheiro Machado";0;0;0;0;0;0;0;0;1;0;0;0;1
"431460 Piratini";0;0;0;0;0;0;0;1;0;0;0;0;1
"431470 Planalto";0;0;0;0;0;0;0;0;1;0;0;0;1
"431478 Ponte Preta";0;0;0;0;0;0;1;0;0;0;0;0;1
"431480 Portão";0;0;0;0;0;4;1;0;3;0;0;0;8
"431490 Porto Alegre";4;8;1;0;7;110;178;170;113;65;14;7;677
"431510 Porto Xavier";0;0;0;0;0;0;0;1;1;0;0;0;2
"431530 Quaraí";0;0;0;0;0;0;1;1;1;0;0;0;3
"431560 Rio Grande";0;0;1;0;3;17;25;25;20;6;1;0;98
"431570 Rio Pardo";0;0;0;0;0;1;2;0;2;0;0;0;5
"431590 Rodeio Bonito";0;0;0;0;0;0;0;0;0;1;0;0;1
"431600 Rolante";0;0;0;0;0;2;0;0;0;0;0;0;2
"431640 Rosário do Sul";0;0;0;0;1;0;3;4;3;0;1;0;12
"431645 Salto do Jacuí";0;0;0;0;0;0;1;0;0;1;0;0;2
"431680 Santa Cruz do Sul";0;0;0;0;0;2;13;11;6;4;3;0;39
"431690 Santa Maria";0;0;0;0;0;18;21;25;19;10;0;0;93
"431720 Santa Rosa";0;0;0;0;1;2;3;3;0;3;0;0;12
"431730 Santa Vitória do Palmar";0;0;0;0;0;4;5;5;3;1;0;0;18
"431700 Santana da Boa Vista";0;0;0;0;0;0;1;0;0;0;0;0;1
"431710 Santana do Livramento";0;0;0;0;0;3;5;1;3;0;0;0;12
"431740 Santiago";0;0;0;0;0;3;1;3;1;0;0;0;8
"431750 Santo Ângelo";0;0;0;0;0;1;4;5;4;1;0;0;15
"431760 Santo Antônio da Patrulha";0;0;0;0;0;1;2;2;2;0;0;0;7
"431790 Santo Cristo";0;0;0;0;0;0;0;1;0;0;0;0;1
"431800 São Borja";0;0;0;0;0;1;1;1;0;1;1;0;5
"431820 São Francisco de Paula";0;0;0;0;0;0;1;1;0;0;0;0;2
"431830 São Gabriel";0;0;0;0;0;3;1;1;5;1;0;0;11
"431840 São Jerônimo";0;0;0;0;0;1;1;1;2;6;1;0;12
"431850 São José do Norte";0;0;0;0;0;0;2;2;0;0;0;0;4
"431870 São Leopoldo";1;0;0;0;1;12;30;20;14;4;1;0;83
"431880 São Lourenço do Sul";0;0;0;0;0;2;0;2;0;0;0;0;4
"431890 São Luiz Gonzaga";0;0;0;0;0;0;5;3;1;1;0;0;10
"431900 São Marcos";0;0;0;0;0;0;1;0;2;0;0;0;3
"431915 São Miguel das Missões";0;0;0;0;0;0;0;0;1;0;0;0;1
"431930 São Paulo das Missões";0;0;0;1;0;0;0;0;0;0;0;0;1
"431950 São Sebastião do Caí";0;0;0;0;0;0;2;2;1;2;1;0;8
"431960 São Sepé";0;0;0;0;0;1;0;0;1;0;0;0;2
"431990 Sapiranga";0;0;0;0;0;2;4;5;1;2;0;0;14
"432000 Sapucaia do Sul";0;0;0;0;0;7;12;4;5;2;0;0;30
"432010 Sarandi";0;0;0;0;0;2;1;0;0;0;0;0;3
"432050 Sertão";0;0;0;0;0;0;1;0;0;0;0;0;1
"432080 Soledade";0;0;0;0;0;0;2;1;1;1;0;0;5
"432090 Tapejara";0;0;0;0;0;0;0;1;0;0;0;0;1
"432110 Tapes";0;0;0;0;0;1;0;2;2;0;1;0;6
"432120 Taquara";0;0;0;0;0;1;3;8;2;2;0;0;16
"432130 Taquari";0;0;0;0;0;0;0;1;0;0;0;0;1
"432145 Teutônia";0;0;0;0;0;0;0;1;1;0;0;0;2
"432150 Torres";0;0;0;0;0;2;6;1;3;4;0;0;16
"432160 Tramandaí";0;0;0;0;1;12;9;13;9;3;1;0;48
"432170 Três Coroas";0;0;0;0;0;0;0;1;1;0;0;0;2
"432180 Três de Maio";0;0;0;0;0;0;0;2;1;1;0;0;4
"432190 Três Passos";0;0;0;0;0;0;1;0;1;0;0;0;2
"432200 Triunfo";0;0;0;0;0;0;0;0;3;2;0;0;5
"432240 Uruguaiana";0;0;1;0;0;7;6;8;6;2;0;0;30
"432250 Vacaria";0;0;0;0;0;4;3;4;4;0;0;0;15
"432253 Vale do Sol";0;0;0;0;0;0;1;0;0;0;0;0;1
"432254 Vale Real";0;0;0;0;0;0;0;1;0;0;0;0;1
"432260 Venâncio Aires";0;0;0;0;0;2;5;1;2;0;0;0;10
"432270 Vera Cruz";0;0;0;0;0;0;1;5;4;1;0;0;11
"432280 Veranópolis";0;0;0;0;0;0;1;0;0;0;0;0;1
"432300 Viamão";0;0;0;0;2;15;23;21;8;7;2;1;79
"432377 Westfalia";0;0;0;0;0;0;1;0;0;0;0;0;1
"432380 Xangri-lá";0;0;0;0;0;1;3;2;0;0;0;0;6
"Total";9;17;5;1;29;480;719;679;466;238;59;12;2714
