 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2022
Ano Notificação: 2022
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2022
"Município (Res)";"Masculino";"Feminino";"Total"
"410040 Almirante Tamandaré";14;8;22
"410070 Alto Piquiri";1;0;1
"410090 Amaporã";1;0;1
"410110 Andirá";1;1;2
"410120 Antonina";0;1;1
"410140 Apucarana";20;4;24
"410150 Arapongas";14;4;18
"410180 Araucária";9;13;22
"410190 Assaí";1;1;2
"410200 Assis Chateaubriand";2;1;3
"410230 Balsa Nova";1;0;1
"410240 Bandeirantes";2;0;2
"410280 Bela Vista do Paraíso";1;0;1
"410300 Boa Esperança";1;0;1
"410310 Bocaiúva do Sul";0;1;1
"410320 Bom Sucesso";1;0;1
"410340 Cafeara";0;1;1
"410345 Cafelândia";1;0;1
"410347 Cafezal do Sul";0;1;1
"410370 Cambé";12;7;19
"410390 Campina da Lagoa";0;1;1
"410400 Campina Grande do Sul";3;1;4
"410420 Campo Largo";16;8;24
"410425 Campo Magro";1;0;1
"410430 Campo Mourão";8;8;16
"410442 Candói";2;0;2
"410480 Cascavel";55;29;84
"410490 Castro";5;5;10
"410550 Cianorte";6;1;7
"410570 Clevelândia";2;3;5
"410580 Colombo";29;7;36
"410590 Colorado";0;1;1
"410620 Contenda";0;1;1
"410630 Corbélia";1;0;1
"410640 Cornélio Procópio";13;7;20
"410650 Coronel Vivida";1;0;1
"410660 Cruzeiro do Oeste";2;0;2
"410690 Curitiba";304;137;441
"410700 Curiúva";1;0;1
"410712 Diamante do Sul";1;0;1
"410765 Fazenda Rio Grande";7;7;14
"410770 Fênix";1;0;1
"410775 Figueira";1;0;1
"410800 Florestópolis";1;0;1
"410830 Foz do Iguaçu";56;38;94
"410840 Francisco Beltrão";20;15;35
"410880 Guaíra";1;0;1
"410920 Guaraci";0;1;1
"410930 Guaraniaçu";1;0;1
"410940 Guarapuava";10;12;22
"410960 Guaratuba";3;6;9
"410970 Ibaiti";6;2;8
"410980 Ibiporã";4;2;6
"410990 Icaraíma";1;1;2
"411000 Iguaraçu";8;3;11
"411030 Inajá";0;1;1
"411060 Iporã";1;1;2
"411070 Irati";0;2;2
"411095 Itaipulândia";1;0;1
"411125 Itaperuçu";0;1;1
"411150 Ivaiporã";3;0;3
"411160 Ivatuba";0;1;1
"411180 Jacarezinho";11;6;17
"411190 Jaguapitã";1;0;1
"411200 Jaguariaíva";1;2;3
"411270 Jataizinho";2;1;3
"411295 Juranda";1;0;1
"411320 Lapa";6;0;6
"411330 Laranjeiras do Sul";3;1;4
"411350 Loanda";0;1;1
"411370 Londrina";112;29;141
"411420 Mandaguari";0;1;1
"411435 Manfrinópolis";1;0;1
"411460 Marechal Cândido Rondon";4;1;5
"411480 Marialva";2;1;3
"411520 Maringá";110;31;141
"411560 Matelândia";2;0;2
"411570 Matinhos";1;1;2
"411620 Morretes";1;0;1
"411660 Nova América da Colina";1;0;1
"411690 Nova Esperança";1;0;1
"411700 Nova Fátima";1;1;2
"411705 Nova Laranjeiras";1;1;2
"411720 Nova Olímpia";0;1;1
"411730 Ortigueira";1;0;1
"411750 Paiçandu";2;0;2
"411760 Palmas";1;3;4
"411770 Palmeira";1;0;1
"411780 Palmital";0;1;1
"411800 Paraíso do Norte";0;1;1
"411820 Paranaguá";47;16;63
"411840 Paranavaí";14;1;15
"411850 Pato Branco";16;6;22
"411870 Paulo Frontin";0;1;1
"411900 Pérola d'Oeste";1;0;1
"411915 Pinhais";20;12;32
"411930 Pinhão";1;0;1
"411950 Piraquara";10;11;21
"411960 Pitanga";1;0;1
"411965 Pitangueiras";1;0;1
"411990 Ponta Grossa";53;33;86
"412040 Presidente Castelo Branco";1;0;1
"412050 Primeiro de Maio";1;0;1
"412080 Quatro Barras";0;1;1
"412090 Quedas do Iguaçu";1;1;2
"412160 Renascença";0;1;1
"412170 Reserva";2;0;2
"412175 Reserva do Iguaçu";0;1;1
"412190 Ribeirão do Pinhal";1;0;1
"412215 Rio Bonito do Iguaçu";1;0;1
"412220 Rio Branco do Sul";1;1;2
"412240 Rolândia";4;0;4
"412250 Roncador";1;0;1
"412290 Salto do Itararé";1;0;1
"412350 Santa Helena";1;0;1
"412370 Santa Isabel do Ivaí";2;0;2
"412380 Santa Izabel do Oeste";1;0;1
"412405 Santa Terezinha de Itaipu";1;1;2
"412410 Santo Antônio da Platina";2;1;3
"412470 São Jerônimo da Serra";1;0;1
"412500 São João do Ivaí";1;0;1
"412540 São José da Boa Vista";0;1;1
"412550 São José dos Pinhais";50;22;72
"412560 São Mateus do Sul";1;0;1
"412570 São Miguel do Iguaçu";0;1;1
"412600 São Sebastião da Amoreira";1;0;1
"412610 São Tomé";3;1;4
"412625 Sarandi";11;6;17
"412627 Saudade do Iguaçu";0;1;1
"412640 Sertaneja";1;0;1
"412680 Tapejara";3;0;3
"412700 Teixeira Soares";1;0;1
"412710 Telêmaco Borba";7;7;14
"412720 Terra Boa";1;0;1
"412750 Tibagi";0;1;1
"412770 Toledo";30;28;58
"412810 Umuarama";21;4;25
"412820 União da Vitória";4;3;7
"412853 Ventania";1;0;1
"412880 Xambrê";0;1;1
"Total";1246;591;1837
