 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"430010 Agudo";1;0;0;0;0;1
"430040 Alegrete";10;2;0;2;0;14
"430060 Alvorada";49;15;1;6;0;71
"430087 Araricá";1;0;0;1;0;2
"430110 Arroio dos Ratos";0;1;0;0;0;1
"430130 Arroio Grande";0;1;0;0;0;1
"430160 Bagé";12;7;0;2;0;21
"430163 Balneário Pinhal";1;1;0;0;0;2
"430170 Barão de Cotegipe";1;0;0;0;0;1
"430210 Bento Gonçalves";29;5;0;7;0;41
"430245 Boqueirão do Leão";1;0;0;0;0;1
"430280 Caçapava do Sul";8;2;0;0;0;10
"430300 Cachoeira do Sul";15;1;0;0;0;16
"430310 Cachoeirinha";24;5;0;3;0;32
"430330 Caibaté";2;0;0;0;0;2
"430350 Camaquã";13;3;0;4;0;20
"430355 Camargo";0;0;1;1;0;2
"430390 Campo Bom";8;0;0;0;0;8
"430400 Campo Novo";1;0;0;0;0;1
"430420 Candelária";2;0;0;1;0;3
"430440 Canela";9;0;0;1;0;10
"430450 Canguçu";1;0;0;0;0;1
"430460 Canoas";115;21;1;21;0;158
"430463 Capão da Canoa";29;3;0;3;0;35
"430466 Capão do Leão";1;1;0;1;0;3
"430467 Capivari do Sul";1;0;0;0;0;1
"430470 Carazinho";18;0;0;1;0;19
"430480 Carlos Barbosa";2;0;0;0;0;2
"430500 Catuípe";1;0;0;0;0;1
"430510 Caxias do Sul";69;3;0;24;0;96
"430515 Cerro Grande";1;0;0;0;0;1
"430535 Charqueadas";14;1;0;1;0;16
"430545 Cidreira";2;0;0;0;0;2
"430580 Constantina";0;0;0;1;0;1
"430585 Coqueiros do Sul";1;0;0;0;0;1
"430590 Coronel Bicaco";1;0;0;0;0;1
"430610 Cruz Alta";20;1;0;4;0;25
"430620 Cruzeiro do Sul";0;1;0;0;0;1
"430640 Dois Irmãos";0;0;1;1;0;2
"430660 Dom Pedrito";6;2;0;1;0;9
"430676 Eldorado do Sul";7;1;0;0;0;8
"430680 Encantado";1;0;0;0;0;1
"430693 Entre-Ijuís";1;0;0;0;0;1
"430700 Erechim";12;0;0;2;1;15
"430750 Espumoso";1;0;0;0;0;1
"430760 Estância Velha";7;0;0;2;0;9
"430770 Esteio";14;4;0;2;0;20
"430780 Estrela";6;0;0;0;0;6
"430790 Farroupilha";21;2;0;2;0;25
"430807 Fazenda Vilanova";1;0;0;0;0;1
"430820 Flores da Cunha";1;0;0;0;0;1
"430845 Fortaleza dos Valos";1;0;0;0;0;1
"430850 Frederico Westphalen";7;1;0;0;0;8
"430860 Garibaldi";1;0;0;0;0;1
"430890 Getúlio Vargas";1;0;0;1;0;2
"430900 Giruá";3;1;0;0;0;4
"430910 Gramado";2;0;0;0;0;2
"430920 Gravataí";38;8;1;10;1;58
"430930 Guaíba";20;4;0;1;0;25
"430955 Harmonia";1;1;0;0;0;2
"430960 Horizontina";1;0;0;0;0;1
"430995 Ibirapuitã";0;0;0;1;0;1
"431000 Ibirubá";2;0;0;0;0;2
"431010 Igrejinha";12;0;0;0;0;12
"431020 Ijuí";23;0;0;1;0;24
"431043 Ipê";1;0;0;0;0;1
"431060 Itaqui";7;1;0;3;0;11
"431080 Ivoti";3;0;0;0;0;3
"431100 Jaguarão";2;0;0;0;0;2
"431113 Jari";1;0;0;0;0;1
"431130 Lagoa Vermelha";8;0;0;0;0;8
"431140 Lajeado";17;1;0;1;0;19
"431180 Marau";4;1;0;4;0;9
"431240 Montenegro";23;2;0;1;0;26
"431245 Morro Redondo";1;0;0;0;0;1
"431280 Nova Araçá";0;1;0;0;0;1
"431290 Nova Bassano";1;0;0;0;0;1
"431306 Nova Hartz";2;0;0;0;0;2
"431330 Nova Prata";1;0;0;0;0;1
"431337 Nova Santa Rita";1;1;0;1;0;3
"431340 Novo Hamburgo";62;6;0;13;0;81
"431350 Osório";10;4;0;2;0;16
"431360 Paim Filho";1;0;0;0;0;1
"431365 Palmares do Sul";1;0;0;0;0;1
"431370 Palmeira das Missões";12;1;0;2;0;15
"431390 Panambi";3;0;0;0;0;3
"431405 Parobé";9;0;0;1;0;10
"431410 Passo Fundo";49;3;0;7;0;59
"431415 Paverama";1;0;0;0;0;1
"431440 Pelotas";70;21;2;8;1;102
"431442 Picada Café";0;1;0;0;0;1
"431450 Pinheiro Machado";1;1;0;0;0;2
"431460 Piratini";1;2;0;0;0;3
"431477 Pontão";1;0;0;0;0;1
"431480 Portão";4;0;0;0;0;4
"431490 Porto Alegre";466;159;6;88;0;719
"431510 Porto Xavier";0;0;0;1;0;1
"431530 Quaraí";2;0;0;0;0;2
"431532 Quevedos";0;0;0;1;0;1
"431560 Rio Grande";52;12;0;7;0;71
"431570 Rio Pardo";7;0;0;0;0;7
"431600 Rolante";3;0;0;0;0;3
"431610 Ronda Alta";1;0;0;0;0;1
"431620 Rondinha";1;0;0;0;0;1
"431640 Rosário do Sul";6;0;0;0;0;6
"431645 Salto do Jacuí";1;0;0;0;0;1
"431680 Santa Cruz do Sul";36;8;0;3;0;47
"431690 Santa Maria";79;9;0;16;0;104
"431695 Santa Maria do Herval";1;0;0;0;0;1
"431720 Santa Rosa";14;0;0;0;0;14
"431730 Santa Vitória do Palmar";10;2;0;2;0;14
"431710 Santana do Livramento";6;0;0;0;0;6
"431740 Santiago";6;0;0;0;0;6
"431750 Santo Ângelo";19;1;0;1;0;21
"431760 Santo Antônio da Patrulha";9;2;0;1;0;12
"431780 Santo Augusto";1;0;0;0;0;1
"431800 São Borja";7;0;0;0;0;7
"431830 São Gabriel";3;0;0;1;0;4
"431840 São Jerônimo";15;1;0;1;0;17
"431843 São João do Polêsine";1;0;0;0;0;1
"431850 São José do Norte";0;1;0;1;0;2
"431870 São Leopoldo";52;12;0;9;0;73
