 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Mato Grosso
Período:2016
"Município (Res)";"Masculino";"Feminino";"Total"
"510020 Água Boa";1;0;1
"510025 Alta Floresta";4;1;5
"510030 Alto Araguaia";3;0;3
"510040 Alto Garças";2;0;2
"510170 Barra do Bugres";1;0;1
"510180 Barra do Garças";5;5;10
"510250 Cáceres";8;3;11
"510267 Campo Verde";8;2;10
"510268 Campos de Júlio";1;0;1
"510305 Cláudia";1;0;1
"510310 Cocalinho";0;1;1
"510320 Colíder";1;1;2
"510330 Comodoro";0;1;1
"510335 Confresa";4;4;8
"510340 Cuiabá";162;69;231
"510343 Curvelândia";1;0;1
"510350 Diamantino";6;2;8
"510360 Dom Aquino";0;1;1
"510370 Feliz Natal";0;1;1
"510410 Guarantã do Norte";9;5;14
"510420 Guiratinga";1;2;3
"510454 Itanhangá";1;0;1
"510460 Itiquira";1;0;1
"510480 Jaciara";7;4;11
"510510 Juara";3;3;6
"510515 Juína";2;5;7
"510520 Juscimeira";1;1;2
"510523 Lambari D'Oeste";1;0;1
"510525 Lucas do Rio Verde";5;0;5
"510558 Marcelândia";2;1;3
"510560 Matupá";2;0;2
"510562 Mirassol d'Oeste";1;1;2
"510590 Nobres";3;0;3
"510880 Nova Guarita";2;0;2
"510885 Nova Marilândia";0;1;1
"510622 Nova Mutum";3;0;3
"510623 Nova Olímpia";1;0;1
"510619 Nova Santa Helena";1;0;1
"510624 Nova Ubiratã";1;0;1
"510625 Nova Xavantina";1;1;2
"510629 Paranaíta";1;0;1
"510630 Paranatinga";3;4;7
"510637 Pedra Preta";0;1;1
"510642 Peixoto de Azevedo";6;1;7
"510650 Poconé";1;0;1
"510675 Pontes e Lacerda";1;1;2
"510682 Porto Esperidião";0;1;1
"510700 Poxoréo";2;1;3
"510704 Primavera do Leste";5;6;11
"510760 Rondonópolis";96;44;140
"510770 Rosário Oeste";1;0;1
"510774 Santa Cruz do Xingu";1;0;1
"510780 Santo Antônio do Leverger";1;3;4
"510730 São José do Rio Claro";2;0;2
"510787 Sapezal";0;1;1
"510790 Sinop";27;9;36
"510792 Sorriso";12;8;20
"510794 Tabaporã";1;0;1
"510795 Tangará da Serra";13;10;23
"510810 Tesouro";0;1;1
"510840 Várzea Grande";29;21;50
"510850 Vera";0;1;1
"510550 Vila Bela da Santíssima Trindade";0;1;1
"510860 Vila Rica";0;1;1
"Total";458;230;688
