 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso
Período:2016
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"510020 Água Boa";1;0;0;0;0;0;1
"510025 Alta Floresta";3;1;0;1;0;0;5
"510030 Alto Araguaia";0;1;0;2;0;0;3
"510040 Alto Garças";1;0;0;1;0;0;2
"510170 Barra do Bugres";0;0;0;1;0;0;1
"510180 Barra do Garças";1;0;0;9;0;0;10
"510250 Cáceres";3;0;0;8;0;0;11
"510267 Campo Verde";0;0;0;10;0;0;10
"510268 Campos de Júlio";0;0;0;1;0;0;1
"510305 Cláudia";0;1;0;0;0;0;1
"510310 Cocalinho";0;0;0;1;0;0;1
"510320 Colíder";1;0;0;1;0;0;2
"510330 Comodoro";0;0;0;1;0;0;1
"510335 Confresa";2;0;0;6;0;0;8
"510340 Cuiabá";48;26;4;150;1;2;231
"510343 Curvelândia";1;0;0;0;0;0;1
"510350 Diamantino";3;0;0;5;0;0;8
"510360 Dom Aquino";1;0;0;0;0;0;1
"510370 Feliz Natal";0;0;0;1;0;0;1
"510410 Guarantã do Norte";5;0;0;9;0;0;14
"510420 Guiratinga";1;0;0;2;0;0;3
"510454 Itanhangá";0;0;0;1;0;0;1
"510460 Itiquira";0;0;0;1;0;0;1
"510480 Jaciara";8;0;0;3;0;0;11
"510510 Juara";1;0;0;5;0;0;6
"510515 Juína";3;0;0;4;0;0;7
"510520 Juscimeira";1;0;0;1;0;0;2
"510523 Lambari D'Oeste";0;0;0;1;0;0;1
"510525 Lucas do Rio Verde";1;0;0;4;0;0;5
"510558 Marcelândia";1;0;0;2;0;0;3
"510560 Matupá";0;0;0;2;0;0;2
"510562 Mirassol d'Oeste";1;0;0;1;0;0;2
"510590 Nobres";2;0;0;1;0;0;3
"510880 Nova Guarita";1;0;0;1;0;0;2
"510885 Nova Marilândia";0;1;0;0;0;0;1
"510622 Nova Mutum";1;0;0;2;0;0;3
"510623 Nova Olímpia";0;0;0;1;0;0;1
"510619 Nova Santa Helena";1;0;0;0;0;0;1
"510624 Nova Ubiratã";0;0;0;1;0;0;1
"510625 Nova Xavantina";1;0;0;1;0;0;2
"510629 Paranaíta";1;0;0;0;0;0;1
"510630 Paranatinga";2;0;0;5;0;0;7
"510637 Pedra Preta";1;0;0;0;0;0;1
"510642 Peixoto de Azevedo";2;1;0;4;0;0;7
"510650 Poconé";0;0;0;1;0;0;1
"510675 Pontes e Lacerda";1;1;0;0;0;0;2
"510682 Porto Esperidião";0;0;0;1;0;0;1
"510700 Poxoréo";2;0;0;1;0;0;3
"510704 Primavera do Leste";1;0;0;9;0;1;11
"510760 Rondonópolis";64;15;0;60;1;0;140
"510770 Rosário Oeste";0;0;0;1;0;0;1
"510774 Santa Cruz do Xingu";0;0;0;1;0;0;1
"510780 Santo Antônio do Leverger";1;1;0;2;0;0;4
"510730 São José do Rio Claro";1;1;0;0;0;0;2
"510787 Sapezal";1;0;0;0;0;0;1
"510790 Sinop";18;0;0;18;0;0;36
"510792 Sorriso";6;0;1;13;0;0;20
"510794 Tabaporã";0;0;1;0;0;0;1
"510795 Tangará da Serra";11;2;0;8;1;1;23
"510810 Tesouro";0;0;0;1;0;0;1
"510840 Várzea Grande";5;4;1;38;0;2;50
"510850 Vera";0;0;0;1;0;0;1
"510550 Vila Bela da Santíssima Trindade";1;0;0;0;0;0;1
"510860 Vila Rica";0;0;0;1;0;0;1
"Total";211;55;7;406;3;6;688
