 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"410040 Almirante Tamandaré";11;1;0;5;0;0;17
"410140 Apucarana";7;2;0;1;0;0;10
"410150 Arapongas";7;1;0;4;0;0;12
"410180 Araucária";5;1;0;5;0;0;11
"410200 Assis Chateaubriand";1;0;0;0;0;0;1
"410210 Astorga";1;0;0;0;0;0;1
"410345 Cafelândia";1;0;0;1;0;0;2
"410370 Cambé";8;0;1;2;0;0;11
"410400 Campina Grande do Sul";2;0;0;1;0;0;3
"410420 Campo Largo";13;0;1;5;0;0;19
"410425 Campo Magro";1;0;0;0;0;0;1
"410430 Campo Mourão";21;0;0;1;0;0;22
"410442 Candói";0;0;0;1;0;0;1
"410460 Capitão Leônidas Marques";0;0;0;1;0;0;1
"410480 Cascavel";26;3;0;31;0;0;60
"410490 Castro";1;0;0;0;0;0;1
"410550 Cianorte";9;0;0;5;0;0;14
"410560 Cidade Gaúcha";0;0;0;1;0;0;1
"410570 Clevelândia";0;0;0;1;0;0;1
"410580 Colombo";27;1;0;11;0;0;39
"410640 Cornélio Procópio";7;1;0;4;0;0;12
"410655 Corumbataí do Sul";1;0;0;0;0;0;1
"410660 Cruzeiro do Oeste";1;0;0;0;0;0;1
"410690 Curitiba";252;16;2;54;1;5;330
"410715 Diamante D'Oeste";1;0;0;0;0;0;1
"410740 Enéas Marques";0;0;0;1;0;0;1
"410765 Fazenda Rio Grande";1;0;0;0;0;0;1
"410775 Figueira";0;0;0;1;0;0;1
"410820 Formosa do Oeste";1;0;0;0;0;0;1
"410830 Foz do Iguaçu";50;1;1;20;0;0;72
"410840 Francisco Beltrão";24;0;0;6;0;0;30
"410940 Guarapuava";13;0;0;2;0;0;15
"410960 Guaratuba";8;0;0;1;0;0;9
"410970 Ibaiti";6;0;0;0;0;0;6
"410980 Ibiporã";0;0;0;1;0;0;1
"411000 Iguaraçu";8;1;0;1;1;0;11
"411070 Irati";1;0;0;0;0;0;1
"411120 Itapejara d'Oeste";1;0;0;0;0;0;1
"411180 Jacarezinho";14;1;0;3;0;1;19
"411190 Jaguapitã";0;1;0;3;0;0;4
"411270 Jataizinho";0;1;0;0;0;0;1
"411275 Jesuítas";1;0;0;0;0;0;1
"411320 Lapa";5;0;0;0;0;0;5
"411330 Laranjeiras do Sul";0;0;0;1;0;0;1
"411350 Loanda";0;0;0;3;0;0;3
"411370 Londrina";48;7;3;21;0;0;79
"411375 Lunardelli";1;0;0;0;0;0;1
"411440 Mangueirinha";0;0;0;2;0;0;2
"411460 Marechal Cândido Rondon";1;0;0;0;0;0;1
"411480 Marialva";2;0;0;0;0;0;2
"411520 Maringá";71;5;0;26;0;0;102
"411570 Matinhos";1;0;0;0;0;0;1
"411580 Medianeira";1;0;0;0;0;0;1
"411590 Mirador";0;0;0;1;0;0;1
"411620 Morretes";1;0;0;0;0;0;1
"411690 Nova Esperança";1;0;0;0;0;0;1
"411710 Nova Londrina";1;0;0;0;0;0;1
"411730 Ortigueira";1;0;0;0;0;0;1
"411745 Ouro Verde do Oeste";1;0;0;0;0;0;1
"411750 Paiçandu";1;0;0;0;0;0;1
"411760 Palmas";4;0;0;1;0;0;5
"411790 Palotina";2;0;0;0;0;0;2
"411820 Paranaguá";50;0;1;16;0;0;67
"411840 Paranavaí";10;1;0;6;0;0;17
"411850 Pato Branco";14;1;1;3;0;0;19
"411915 Pinhais";20;4;3;2;0;0;29
"411930 Pinhão";3;0;0;0;0;0;3
"411950 Piraquara";4;1;0;1;0;0;6
"411960 Pitanga";1;0;0;0;0;0;1
"411965 Pitangueiras";0;0;0;1;0;0;1
"411990 Ponta Grossa";48;8;0;16;0;0;72
"412050 Primeiro de Maio";1;0;0;1;0;0;2
"412060 Prudentópolis";1;0;0;0;0;0;1
"412080 Quatro Barras";1;1;0;0;0;0;2
"412090 Quedas do Iguaçu";0;0;0;1;0;0;1
"412100 Querência do Norte";1;0;0;0;0;0;1
"412160 Renascença";0;0;1;0;0;0;1
"412215 Rio Bonito do Iguaçu";1;0;0;0;0;0;1
"412220 Rio Branco do Sul";0;0;0;1;0;0;1
"412230 Rio Negro";5;0;0;0;0;0;5
"412240 Rolândia";1;0;0;1;0;0;2
"412250 Roncador";1;0;0;0;0;0;1
"412350 Santa Helena";1;0;0;0;0;0;1
"412385 Santa Maria do Oeste";1;0;0;0;0;0;1
"412440 Santo Antônio do Sudoeste";1;0;0;0;0;0;1
"412550 São José dos Pinhais";23;0;3;10;0;0;36
"412600 São Sebastião da Amoreira";1;0;0;0;0;0;1
"412625 Sarandi";6;0;0;2;0;0;8
"412650 Sertanópolis";1;0;0;0;0;0;1
"412700 Teixeira Soares";2;0;0;0;0;0;2
"412710 Telêmaco Borba";2;0;0;0;0;0;2
"412750 Tibagi";0;1;0;0;0;0;1
"412760 Tijucas do Sul";1;0;0;0;0;0;1
"412770 Toledo";13;3;0;14;0;0;30
"412800 Ubiratã";1;0;0;0;0;0;1
"412810 Umuarama";6;0;0;7;0;0;13
"412820 União da Vitória";5;0;0;2;0;0;7
"412865 Virmond";1;0;0;0;0;0;1
"Total";900;63;17;312;2;6;1300
