 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2020
"Município (Res)";"< 1 ano";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"520010 Abadiânia";0;0;0;0;0;0;1;0;0;0;1
"520025 Águas Lindas de Goiás";0;0;0;2;2;1;0;1;0;0;6
"520110 Anápolis";0;0;0;14;15;15;8;0;0;0;52
"520140 Aparecida de Goiânia";0;0;1;34;34;14;12;6;1;0;102
"520170 Aragarças";0;0;0;0;2;0;0;0;0;0;2
"520250 Aruanã";0;0;0;1;0;0;0;0;0;0;1
"520330 Bela Vista de Goiás";0;0;0;0;3;2;1;0;0;0;6
"520340 Bom Jardim de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520420 Cachoeira de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520425 Cachoeira Dourada";0;0;0;0;0;1;0;0;0;0;1
"520440 Caiapônia";0;0;0;0;0;2;1;0;0;0;3
"520450 Caldas Novas";0;0;0;3;6;5;3;1;1;0;19
"520460 Campestre de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520490 Campos Belos";0;0;0;0;0;3;0;0;0;0;3
"520510 Catalão";0;0;1;5;4;4;3;0;0;0;17
"520520 Caturaí";0;0;0;1;0;1;0;0;0;0;2
"520540 Ceres";0;0;0;1;0;0;0;0;0;0;1
"520545 Cezarina";0;0;0;0;1;0;0;0;0;0;1
"520547 Chapadão do Céu";0;0;0;0;1;0;1;1;0;0;3
"520549 Cidade Ocidental";0;0;2;3;5;5;0;1;0;0;16
"520551 Cocalzinho de Goiás";1;0;0;0;0;1;0;0;0;0;2
"520620 Cristalina";0;0;0;0;1;0;0;0;0;0;1
"520640 Crixás";0;0;0;0;0;1;0;0;0;0;1
"520650 Cromínia";0;0;0;0;1;0;0;0;0;0;1
"520800 Formosa";0;0;0;0;1;0;0;0;0;0;1
"520860 Goianésia";0;0;0;1;2;2;0;0;0;0;5
"520870 Goiânia";0;1;8;150;118;76;46;9;3;2;413
"520880 Goianira";0;0;0;2;0;1;0;0;0;0;3
"520890 Goiás";0;0;0;1;2;0;0;1;1;0;5
"520910 Goiatuba";0;0;0;0;1;2;1;0;0;0;4
"520970 Hidrolândia";0;0;0;0;1;1;0;0;0;0;2
"521000 Inhumas";0;0;0;2;4;1;1;0;0;0;8
"521010 Ipameri";0;0;0;0;1;0;0;0;0;0;1
"521020 Iporá";0;0;0;3;4;1;0;1;0;0;9
"521040 Itaberaí";0;0;0;0;1;0;0;0;0;0;1
"521056 Itaguari";0;0;0;0;0;1;0;0;0;0;1
"521080 Itajá";0;0;0;0;0;0;0;1;0;0;1
"521090 Itapaci";0;0;0;0;1;0;1;0;0;0;2
"521100 Itapirapuã";0;0;0;0;1;0;0;0;0;0;1
"521140 Itauçu";0;0;0;1;0;0;0;0;0;0;1
"521150 Itumbiara";0;0;0;4;8;6;4;2;0;0;24
"521180 Jaraguá";0;0;0;1;0;0;1;0;0;0;2
"521190 Jataí";0;0;1;4;3;4;3;0;0;0;15
"521230 Leopoldo de Bulhões";0;0;0;0;1;0;0;0;0;0;1
"521250 Luziânia";0;0;0;4;3;2;1;1;0;0;11
"521300 Maurilândia";0;0;0;0;1;0;0;0;0;0;1
"521308 Minaçu";0;0;0;0;0;0;0;1;0;0;1
"521310 Mineiros";0;0;0;1;2;2;0;0;0;0;5
"521350 Monte Alegre de Goiás";0;0;0;0;1;0;0;0;1;0;2
"521370 Montes Claros de Goiás";0;0;0;0;1;0;0;0;0;0;1
"521375 Montividiu";0;0;0;0;1;0;0;0;0;0;1
"521380 Morrinhos";0;0;0;0;0;3;1;0;0;0;4
"521450 Nerópolis";0;0;0;0;2;0;0;0;0;0;2
"521460 Niquelândia";0;0;0;1;0;0;0;0;0;0;1
"521523 Novo Gama";0;0;0;0;3;1;0;0;0;0;4
"521570 Palmeiras de Goiás";0;0;0;0;0;0;1;0;0;0;1
"521590 Palminópolis";0;0;0;1;0;0;0;0;0;0;1
"521710 Piracanjuba";0;0;0;0;2;0;0;0;0;0;2
"521720 Piranhas";0;0;0;1;0;0;0;0;0;0;1
"521730 Pirenópolis";0;0;0;1;1;0;0;0;0;0;2
"521740 Pires do Rio";0;0;0;0;1;1;0;0;0;0;2
"521760 Planaltina";0;0;0;1;0;1;0;0;0;0;2
"521770 Pontalina";0;0;0;0;1;0;0;0;0;0;1
"521800 Porangatu";0;0;0;3;0;0;0;0;0;0;3
"521805 Porteirão";0;0;0;0;0;0;0;1;0;0;1
"521850 Quirinópolis";0;0;0;1;0;0;1;0;0;0;2
"521860 Rialma";0;0;0;0;0;0;1;0;0;0;1
"521880 Rio Verde";0;0;1;12;12;3;2;1;1;0;32
"521890 Rubiataba";0;0;0;0;1;0;0;0;0;0;1
"521930 Santa Helena de Goiás";0;0;0;0;0;2;1;0;0;0;3
"521935 Santa Isabel";0;0;0;0;1;0;0;0;0;0;1
"521950 Santa Rosa de Goiás";0;0;1;0;0;0;0;0;0;0;1
"521970 Santa Terezinha de Goiás";0;0;0;0;0;0;0;1;0;0;1
"521975 Santo Antônio do Descoberto";0;0;0;3;1;0;0;2;0;0;6
"522005 São João da Paraúna";0;0;0;1;0;0;0;0;0;0;1
"522010 São Luís de Montes Belos";0;0;0;0;0;0;0;0;1;0;1
"522020 São Miguel do Araguaia";0;0;0;0;0;1;0;1;0;0;2
"522045 Senador Canedo";0;0;0;6;9;5;2;0;0;0;22
"522060 Silvânia";0;0;0;1;0;0;0;0;0;0;1
"522130 Três Ranchos";0;0;0;0;2;0;0;0;0;0;2
"522140 Trindade";0;0;0;1;2;1;5;1;0;0;10
"522157 Uirapuru";0;0;0;0;0;1;0;0;0;0;1
"522160 Uruaçu";0;0;0;2;1;0;0;0;0;0;3
"522185 Valparaíso de Goiás";0;0;0;4;2;1;0;1;0;0;8
"522190 Varjão";0;0;0;0;1;0;0;0;0;0;1
"522205 Vicentinópolis";0;0;0;1;0;0;0;0;0;0;1
"522220 Vila Boa";0;0;0;0;0;0;0;1;0;0;1
"Total";1;1;15;278;275;177;102;35;9;2;895
