 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Goiás
Período:2019
"Município (Res)";"Masculino";"Feminino";"Total"
"520010 Abadiânia";1;0;1
"520013 Acreúna";0;4;4
"520025 Águas Lindas de Goiás";5;0;5
"520030 Alexânia";1;0;1
"520080 Alvorada do Norte";1;0;1
"520090 Amorinópolis";1;0;1
"520110 Anápolis";65;17;82
"520130 Anicuns";0;2;2
"520140 Aparecida de Goiânia";69;19;88
"520150 Aporé";4;1;5
"520160 Araçu";1;0;1
"520170 Aragarças";1;3;4
"520235 Arenópolis";1;0;1
"520250 Aruanã";1;1;2
"520330 Bela Vista de Goiás";1;0;1
"520360 Brazabrantes";1;0;1
"520390 Buriti Alegre";2;0;2
"520440 Caiapônia";1;0;1
"520450 Caldas Novas";15;8;23
"520455 Caldazinha";0;1;1
"520460 Campestre de Goiás";1;0;1
"520485 Campo Limpo de Goiás";1;0;1
"520490 Campos Belos";1;1;2
"520495 Campos Verdes";1;0;1
"520510 Catalão";19;3;22
"520530 Cavalcante";0;1;1
"520540 Ceres";1;0;1
"520545 Cezarina";1;0;1
"520547 Chapadão do Céu";2;0;2
"520549 Cidade Ocidental";8;2;10
"520570 Córrego do Ouro";1;0;1
"520590 Corumbaíba";0;1;1
"520620 Cristalina";7;1;8
"520630 Cristianópolis";0;1;1
"520640 Crixás";1;0;1
"520735 Edealina";1;0;1
"520800 Formosa";3;3;6
"520840 Goianápolis";1;0;1
"520850 Goiandira";0;1;1
"520860 Goianésia";2;1;3
"520870 Goiânia";352;91;443
"520880 Goianira";9;1;10
"520890 Goiás";0;1;1
"520910 Goiatuba";3;0;3
"520920 Guapó";2;1;3
"520970 Hidrolândia";2;1;3
"520993 Inaciolândia";1;0;1
"520995 Indiara";1;2;3
"521000 Inhumas";7;3;10
"521010 Ipameri";1;0;1
"521020 Iporá";5;4;9
"521030 Israelândia";1;0;1
"521040 Itaberaí";4;0;4
"521090 Itapaci";2;3;5
"521120 Itapuranga";1;1;2
"521150 Itumbiara";25;5;30
"521180 Jaraguá";2;0;2
"521190 Jataí";10;6;16
"521200 Jaupaci";0;1;1
"521220 Jussara";0;1;1
"521250 Luziânia";14;4;18
"521295 Matrinchã";1;1;2
"521300 Maurilândia";0;1;1
"521308 Minaçu";2;2;4
"521310 Mineiros";3;2;5
"521377 Montividiu do Norte";1;0;1
"521380 Morrinhos";1;0;1
"521390 Mossâmedes";1;0;1
"521405 Mundo Novo";1;0;1
"521450 Nerópolis";2;1;3
"521483 Nova Crixás";0;1;1
"521523 Novo Gama";4;1;5
"521530 Orizona";1;0;1
"521540 Ouro Verde de Goiás";1;0;1
"521560 Padre Bernardo";1;0;1
"521570 Palmeiras de Goiás";4;1;5
"521640 Paraúna";1;0;1
"521680 Petrolina de Goiás";1;0;1
"521720 Piranhas";3;0;3
"521730 Pirenópolis";3;0;3
"521760 Planaltina";3;1;4
"521770 Pontalina";0;2;2
"521800 Porangatu";1;1;2
"521830 Posse";2;0;2
"521839 Professor Jamil";1;0;1
"521850 Quirinópolis";1;1;2
"521860 Rialma";1;0;1
"521880 Rio Verde";44;25;69
"521890 Rubiataba";1;1;2
"521925 Santa Fé de Goiás";1;0;1
"521930 Santa Helena de Goiás";1;0;1
"521940 Santa Rita do Araguaia";1;0;1
"521970 Santa Terezinha de Goiás";2;1;3
"521973 Santo Antônio de Goiás";1;0;1
"521975 Santo Antônio do Descoberto";6;1;7
"521980 São Domingos";1;0;1
"522010 São Luís de Montes Belos";4;1;5
"522015 São Luíz do Norte";1;0;1
"522020 São Miguel do Araguaia";2;0;2
"522040 São Simão";3;0;3
"522045 Senador Canedo";5;3;8
"522050 Serranópolis";1;1;2
"522060 Silvânia";1;0;1
"522140 Trindade";15;5;20
"522160 Uruaçu";7;5;12
"522170 Uruana";1;0;1
"522185 Valparaíso de Goiás";6;4;10
"522205 Vicentinópolis";2;0;2
"520000 Município ignorado - GO";2;1;3
"Total";812;259;1071
