 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"430040 Alegrete";7;1;0;0;0;0;8
"430050 Alpestre";1;0;0;0;0;0;1
"430060 Alvorada";26;11;0;4;0;0;41
"430110 Arroio dos Ratos";1;0;0;0;0;0;1
"430130 Arroio Grande";0;0;0;1;0;0;1
"430160 Bagé";13;0;0;2;0;0;15
"430210 Bento Gonçalves";15;2;0;0;0;0;17
"430223 Boa Vista do Incra";1;0;0;0;0;0;1
"430280 Caçapava do Sul";2;0;0;0;0;0;2
"430290 Cacequi";2;0;0;0;0;0;2
"430300 Cachoeira do Sul";10;2;0;0;0;0;12
"430310 Cachoeirinha";30;3;0;0;0;0;33
"430350 Camaquã";11;0;1;0;0;0;12
"430370 Campina das Missões";1;0;0;0;0;0;1
"430390 Campo Bom";5;0;0;1;0;0;6
"430420 Candelária";1;0;0;0;0;0;1
"430430 Cândido Godói";1;0;0;0;0;0;1
"430435 Candiota";1;0;0;0;0;0;1
"430440 Canela";11;2;0;4;0;0;17
"430450 Canguçu";2;0;0;0;0;0;2
"430460 Canoas";81;9;0;14;0;1;105
"430463 Capão da Canoa";12;1;0;1;0;0;14
"430466 Capão do Leão";1;0;0;0;0;0;1
"430470 Carazinho";13;0;0;0;0;0;13
"430490 Casca";1;0;0;0;0;0;1
"430500 Catuípe";1;0;0;0;0;0;1
"430510 Caxias do Sul";50;4;1;12;1;0;68
"430535 Charqueadas";27;1;0;3;0;1;32
"430558 Colinas";1;0;0;0;0;0;1
"430587 Coronel Barros";1;0;0;0;0;0;1
"430610 Cruz Alta";19;0;0;3;0;0;22
"430635 Dezesseis de Novembro";1;0;0;0;0;0;1
"430637 Dilermando de Aguiar";0;1;0;0;0;0;1
"430640 Dois Irmãos";2;0;0;0;0;0;2
"430660 Dom Pedrito";5;1;0;0;0;0;6
"430676 Eldorado do Sul";5;0;0;0;0;0;5
"430680 Encantado";1;0;0;0;0;0;1
"430690 Encruzilhada do Sul";0;1;0;0;0;0;1
"430700 Erechim";7;1;0;3;0;0;11
"430760 Estância Velha";5;0;1;0;0;0;6
"430770 Esteio";11;3;0;1;0;0;15
"430780 Estrela";9;0;0;0;0;0;9
"430790 Farroupilha";20;1;0;3;0;0;24
