 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"420010 Abelardo Luz";1;0;0;0;0;1
"420050 Águas de Chapecó";1;0;0;0;0;1
"420070 Alfredo Wagner";1;0;0;0;0;1
"420125 Apiúna";2;0;0;0;0;2
"420130 Araquari";4;1;2;0;1;8
"420140 Araranguá";13;2;0;1;0;16
"420170 Ascurra";1;0;0;0;0;1
"420195 Balneário Arroio do Silva";6;0;0;1;0;7
"420205 Balneário Barra do Sul";3;1;0;0;0;4
"420200 Balneário Camboriú";56;1;1;7;0;65
"420207 Balneário Gaivota";3;0;0;0;0;3
"420210 Barra Velha";6;0;0;0;0;6
"420230 Biguaçu";20;5;0;2;0;27
"420240 Blumenau";91;2;0;15;1;109
"420260 Bom Retiro";1;0;0;0;0;1
"420245 Bombinhas";14;0;0;0;0;14
"420270 Botuverá";1;0;0;0;0;1
"420280 Braço do Norte";4;1;0;0;0;5
"420290 Brusque";21;2;0;7;0;30
"420300 Caçador";10;0;1;3;0;14
"420320 Camboriú";25;2;0;7;0;34
"420340 Campo Belo do Sul";1;0;0;0;0;1
"420360 Campos Novos";2;2;0;1;0;5
"420370 Canelinha";1;0;0;0;0;1
"420380 Canoinhas";3;0;0;0;0;3
"420390 Capinzal";2;3;0;1;0;6
"420395 Capivari de Baixo";2;1;0;2;0;5
"420420 Chapecó";35;4;1;30;0;70
"420425 Cocal do Sul";6;0;0;0;0;6
"420430 Concórdia";9;1;0;5;0;15
"420450 Corupá";1;0;0;0;0;1
"420460 Criciúma";67;4;0;2;0;73
"420470 Cunha Porã";2;0;0;0;0;2
"420480 Curitibanos";5;0;0;0;0;5
"420500 Dionísio Cerqueira";1;0;0;0;0;1
"420540 Florianópolis";172;26;12;34;0;244
"420545 Forquilhinha";8;1;0;2;0;11
"420550 Fraiburgo";3;0;0;2;0;5
"420570 Garopaba";10;0;0;0;0;10
"420580 Garuva";2;0;0;2;0;4
"420590 Gaspar";8;2;0;8;0;18
"420650 Guaramirim";0;1;0;0;0;1
"420665 Guatambú";0;0;0;1;0;1
