 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2018
"Município (Res)";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"510025 Alta Floresta";0;0;0;2;2;1;2;0;0;0;7
"510030 Alto Araguaia";0;0;0;1;0;1;0;0;0;0;2
"510040 Alto Garças";0;0;0;1;2;0;1;0;0;0;4
"510060 Alto Taquari";0;0;0;1;0;0;0;0;0;0;1
"510080 Apiacás";0;0;0;0;0;1;0;0;0;0;1
"510125 Araputanga";0;0;0;0;0;1;0;0;0;0;1
"510170 Barra do Bugres";0;0;0;0;1;2;0;0;0;0;3
"510180 Barra do Garças";0;0;0;1;1;0;1;1;0;0;4
"510185 Bom Jesus do Araguaia";0;0;0;0;0;1;0;0;0;0;1
"510250 Cáceres";0;0;0;2;6;2;2;2;0;0;14
"510260 Campinápolis";0;0;0;0;0;1;0;0;0;0;1
"510263 Campo Novo do Parecis";0;0;0;1;0;0;0;0;0;0;1
"510267 Campo Verde";0;0;1;3;2;1;0;1;0;0;8
"510300 Chapada dos Guimarães";0;0;0;0;1;0;0;0;0;0;1
"510305 Cláudia";0;0;0;0;1;0;0;0;0;0;1
"510320 Colíder";0;0;1;4;2;1;2;0;0;0;10
"510330 Comodoro";0;0;0;0;0;1;0;0;0;0;1
"510335 Confresa";0;0;0;1;2;1;0;0;0;0;4
"510340 Cuiabá";2;2;6;84;74;57;32;15;5;0;277
"510350 Diamantino";0;0;0;0;1;0;1;0;0;0;2
"510360 Dom Aquino";0;0;0;0;0;0;0;1;0;0;1
"510370 Feliz Natal";0;0;0;0;1;0;0;0;0;0;1
"510385 Gaúcha do Norte";0;0;0;1;0;1;0;0;0;0;2
"510410 Guarantã do Norte";0;0;0;1;2;4;2;1;0;0;10
"510420 Guiratinga";0;0;0;0;0;1;0;0;0;0;1
"510455 Itaúba";0;0;0;0;0;1;0;0;0;0;1
"510460 Itiquira";0;0;0;0;0;0;0;1;0;0;1
"510480 Jaciara";0;0;1;0;2;2;1;0;0;0;6
"510490 Jangada";0;0;0;0;0;0;1;0;0;0;1
"510510 Juara";0;0;0;1;3;3;0;0;0;0;7
"510515 Juína";0;0;0;1;1;2;0;0;0;0;4
"510517 Juruena";0;0;0;0;0;1;0;0;0;0;1
"510520 Juscimeira";0;0;0;0;0;0;0;2;0;0;2
"510525 Lucas do Rio Verde";0;0;0;1;0;1;0;0;1;0;3
"510560 Matupá";0;0;0;0;2;0;0;0;0;0;2
"510562 Mirassol d'Oeste";0;0;0;0;1;1;1;0;0;0;3
"510610 Nossa Senhora do Livramento";0;0;0;0;1;0;1;1;0;0;3
"510615 Nova Bandeirantes";0;0;0;0;0;0;1;0;0;0;1
"510620 Nova Brasilândia";0;0;0;1;0;0;0;0;0;0;1
"510622 Nova Mutum";0;0;0;0;0;2;1;0;0;0;3
"510623 Nova Olímpia";0;0;0;0;1;2;0;0;0;0;3
"510625 Nova Xavantina";0;0;1;0;1;0;0;0;0;0;2
"510630 Paranatinga";0;0;0;1;1;1;0;0;0;0;3
"510637 Pedra Preta";0;0;0;1;0;1;0;0;1;0;3
"510642 Peixoto de Azevedo";0;0;1;1;0;2;2;0;0;0;6
"510650 Poconé";0;0;0;1;1;0;0;0;0;0;2
"510675 Pontes e Lacerda";0;0;1;0;1;1;0;0;0;0;3
"510682 Porto Esperidião";0;0;0;0;0;0;0;0;0;1;1
"510700 Poxoréo";0;0;0;2;1;1;0;2;0;0;6
"510704 Primavera do Leste";0;0;0;3;1;4;0;0;0;0;8
"510706 Querência";1;0;0;0;0;0;0;0;0;0;1
"510760 Rondonópolis";1;0;1;49;38;18;8;3;2;1;121
"510770 Rosário Oeste";0;0;0;0;0;0;0;1;0;0;1
"510724 Santa Carmem";0;0;0;1;0;0;0;0;0;0;1
"510779 Santo Antônio do Leste";0;0;0;1;0;1;0;0;0;0;2
"510780 Santo Antônio do Leverger";0;0;0;0;0;2;0;0;0;1;3
"510730 São José do Rio Claro";0;0;1;0;1;0;0;0;0;0;2
"510710 São José dos Quatro Marcos";0;0;1;2;0;2;0;0;0;0;5
"510787 Sapezal";0;0;0;0;1;1;0;0;0;0;2
"510790 Sinop";0;0;1;16;15;6;2;0;0;0;40
"510792 Sorriso";0;0;0;11;8;8;5;3;0;0;35
"510795 Tangará da Serra";1;0;2;7;8;9;2;1;1;0;31
"510800 Tapurah";0;0;0;0;2;0;0;0;0;0;2
"510840 Várzea Grande";0;0;2;31;22;16;4;2;1;0;78
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;0;0;0;0;1;0;1
"510860 Vila Rica";0;0;0;1;0;0;0;0;0;0;1
"Total";5;2;20;235;210;165;72;37;12;3;761
