 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2016
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"500020 Água Clara";0;0;0;0;0;0;0;0;1;0;1
"500025 Alcinópolis";0;0;0;0;1;0;0;0;0;0;1
"500060 Amambaí";0;0;0;0;1;0;0;0;0;0;1
"500100 Aparecida do Taboado";0;0;0;0;0;1;0;0;0;0;1
"500110 Aquidauana";0;0;0;4;0;4;1;0;0;0;9
"500190 Bataguassu";0;0;0;0;1;1;1;0;0;0;3
"500200 Batayporã";0;0;0;0;0;1;0;0;0;0;1
"500210 Bela Vista";0;0;0;1;2;0;0;0;0;0;3
"500220 Bonito";0;0;0;0;0;1;0;0;0;0;1
"500230 Brasilândia";0;0;0;0;1;0;0;0;0;0;1
"500240 Caarapó";0;0;1;0;0;1;0;1;0;0;3
"500270 Campo Grande";2;0;7;72;54;52;28;11;3;0;229
"500290 Cassilândia";0;0;1;1;1;0;0;0;0;0;3
"500295 Chapadão do Sul";0;0;0;1;1;0;0;1;0;0;3
"500320 Corumbá";0;0;1;6;5;4;2;0;1;0;19
"500325 Costa Rica";0;0;0;0;0;0;1;1;0;0;2
"500330 Coxim";0;0;0;2;4;2;1;3;2;0;14
"500350 Douradina";0;0;0;1;0;0;0;0;0;0;1
"500370 Dourados";0;0;0;19;28;16;11;5;1;0;80
"500375 Eldorado";0;0;0;0;1;0;1;0;0;0;2
"500430 Iguatemi";0;0;0;1;0;0;1;0;0;0;2
"500450 Itaporã";0;0;0;0;0;1;0;0;1;0;2
"500470 Ivinhema";0;0;0;0;1;0;0;0;0;0;1
"500480 Japorã";0;0;0;2;0;0;1;0;0;0;3
"500500 Jardim";0;0;0;0;1;0;0;0;0;0;1
"500515 Juti";0;0;0;1;0;0;0;0;0;0;1
"500520 Ladário";0;0;0;0;0;1;0;0;0;0;1
"500540 Maracaju";0;0;0;1;1;3;2;0;0;0;7
"500560 Miranda";0;0;0;1;0;0;0;0;0;0;1
"500568 Mundo Novo";0;0;0;0;1;0;0;0;0;0;1
"500570 Naviraí";0;0;2;6;6;2;2;3;1;0;22
"500580 Nioaque";0;0;0;0;0;1;0;0;0;0;1
"500600 Nova Alvorada do Sul";0;0;0;0;2;1;0;0;0;0;3
"500620 Nova Andradina";0;0;0;0;3;1;3;0;0;0;7
"500630 Paranaíba";0;0;1;1;7;2;1;0;1;0;13
"500660 Ponta Porã";0;0;3;5;4;11;4;3;0;1;31
"500710 Ribas do Rio Pardo";0;0;0;0;0;1;1;0;1;0;3
"500720 Rio Brilhante";0;0;0;2;0;0;1;0;0;0;3
"500730 Rio Negro";0;0;0;0;1;0;0;0;0;0;1
"500740 Rio Verde de Mato Grosso";0;0;0;0;2;3;2;0;0;1;8
"500769 São Gabriel do Oeste";0;0;0;0;1;1;3;0;0;0;5
"500780 Selvíria";0;0;0;0;1;0;0;0;0;0;1
"500770 Sete Quedas";0;0;0;0;0;1;0;0;0;0;1
"500790 Sidrolândia";0;1;0;1;0;0;1;0;0;0;3
"500795 Tacuru";0;0;0;0;0;0;0;0;1;0;1
"500800 Terenos";0;0;0;0;0;1;0;0;0;0;1
"500830 Três Lagoas";0;0;3;6;5;7;1;1;2;0;25
"500840 Vicentina";0;0;0;0;1;0;0;0;0;0;1
"Total";2;1;19;134;137;120;69;29;15;2;528
