 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"420010 Abelardo Luz";0;1;0;0;0;1;0;0;0;0;2
"420100 Anita Garibaldi";0;0;0;0;0;0;1;0;0;0;1
"420110 Anitápolis";0;0;0;0;0;1;0;0;0;0;1
"420120 Antônio Carlos";0;0;1;0;0;0;0;0;0;0;1
"420125 Apiúna";0;1;0;0;0;0;0;1;1;0;3
"420130 Araquari";0;1;0;1;1;1;1;0;0;0;5
"420140 Araranguá";0;4;2;11;3;0;5;0;1;0;26
"420170 Ascurra";0;0;0;1;0;0;0;0;0;0;1
"420195 Balneário Arroio do Silva";0;1;0;2;1;0;4;0;0;0;8
"420205 Balneário Barra do Sul";0;0;0;1;1;0;0;0;1;0;3
"420200 Balneário Camboriú";0;5;2;20;12;11;14;7;14;0;85
"420207 Balneário Gaivota";0;1;0;1;0;0;1;1;0;0;4
"420210 Barra Velha";0;1;0;0;0;0;1;0;0;0;2
"420220 Benedito Novo";0;0;1;0;0;0;0;0;0;0;1
"420230 Biguaçu";1;1;4;10;3;4;6;0;2;0;31
"420240 Blumenau";0;7;5;22;23;12;43;13;17;0;142
"420260 Bom Retiro";0;0;0;1;0;0;0;0;0;1;2
"420245 Bombinhas";0;0;0;1;0;0;0;0;0;0;1
"420270 Botuverá";0;0;0;0;0;1;0;0;0;0;1
"420280 Braço do Norte";1;0;0;1;0;1;0;0;0;0;3
"420285 Braço do Trombudo";0;1;0;1;1;0;0;0;0;0;3
"420290 Brusque";0;4;1;5;1;12;9;2;7;0;41
"420300 Caçador";0;2;0;0;0;1;2;0;0;0;5
"420320 Camboriú";0;2;2;7;8;1;5;1;2;0;28
"420330 Campo Alegre";0;0;0;0;0;0;1;0;1;0;2
"420350 Campo Erê";0;0;0;0;0;0;1;0;0;0;1
"420360 Campos Novos";0;1;0;2;0;1;0;0;0;0;4
"420380 Canoinhas";0;0;0;0;2;2;2;0;0;0;6
"420390 Capinzal";0;0;0;2;0;0;0;0;1;0;3
"420395 Capivari de Baixo";0;0;0;3;0;1;1;0;0;0;5
"420420 Chapecó";5;7;5;15;4;6;8;6;9;0;65
"420430 Concórdia";0;0;3;1;0;1;2;0;1;0;8
"420455 Correia Pinto";0;0;0;0;1;0;0;0;1;0;2
"420450 Corupá";0;1;0;3;0;0;0;0;0;0;4
"420460 Criciúma";1;6;7;36;21;5;9;3;6;1;95
"420470 Cunha Porã";0;0;0;0;0;0;1;0;0;0;1
"420480 Curitibanos";0;1;1;2;1;0;2;1;0;0;8
"420510 Dona Emma";0;1;0;0;0;0;0;0;0;0;1
"420517 Entre Rios";0;0;0;2;0;0;0;0;0;0;2
"420519 Ermo";0;1;0;0;0;0;0;0;0;0;1
"420530 Faxinal dos Guedes";0;0;0;0;0;0;0;0;1;0;1
"420540 Florianópolis";9;17;2;45;22;22;79;28;45;0;269
"420543 Formosa do Sul";0;0;0;0;0;0;0;0;1;0;1
"420545 Forquilhinha";0;1;0;0;1;1;1;0;0;0;4
"420550 Fraiburgo";0;0;0;3;0;0;1;0;0;0;4
"420570 Garopaba";0;1;0;0;1;0;0;0;0;0;2
"420580 Garuva";0;0;0;1;0;0;0;0;0;0;1
"420590 Gaspar";0;3;0;1;1;1;7;1;2;0;16
"420600 Governador Celso Ramos";0;0;0;0;2;0;0;0;0;0;2
"420620 Gravatal";0;0;0;0;0;0;0;1;0;0;1
"420630 Guabiruba";0;1;0;0;1;1;1;0;1;0;5
"420650 Guaramirim";0;1;1;3;0;1;2;1;0;0;9
"420665 Guatambú";0;0;0;0;1;0;0;0;0;0;1
"420670 Herval d'Oeste";0;0;1;1;3;2;0;0;0;0;7
"420680 Ibicaré";0;0;0;1;0;0;0;0;0;0;1
"420690 Ibirama";0;1;0;0;1;0;1;0;0;0;3
"420700 Içara";0;5;4;13;3;3;3;1;0;0;32
"420710 Ilhota";0;0;0;1;0;0;0;0;0;0;1
"420730 Imbituba";0;3;0;7;1;2;2;0;3;0;18
"420750 Indaial";0;0;3;8;1;2;4;0;0;0;18
"420780 Irani";2;0;0;0;0;0;0;0;0;0;2
"420810 Itaiópolis";0;0;0;0;0;0;1;0;0;0;1
"420820 Itajaí";0;7;4;30;26;20;31;11;15;0;144
"420830 Itapema";1;2;0;9;3;2;5;3;2;0;27
"420845 Itapoá";0;0;0;0;0;0;1;0;0;0;1
"420850 Ituporanga";1;0;0;0;1;0;1;0;0;0;3
"420880 Jaguaruna";0;1;0;0;0;0;0;0;0;0;1
"420890 Jaraguá do Sul";0;1;2;5;7;6;17;3;7;0;48
"420900 Joaçaba";0;3;1;3;1;0;0;0;0;0;8
"420910 Joinville";0;12;15;34;30;18;47;12;34;0;202
"420930 Lages";1;9;3;11;6;5;7;4;1;0;47
"420940 Laguna";0;2;2;2;0;2;3;0;0;0;11
"420960 Lauro Muller";0;1;0;1;0;0;0;0;0;0;2
"420970 Lebon Régis";0;0;0;1;0;0;0;0;0;0;1
"421000 Luiz Alves";0;0;0;0;0;0;1;0;0;0;1
"421003 Luzerna";0;1;0;0;0;0;0;0;0;0;1
"421005 Macieira";0;0;0;0;0;1;0;0;0;0;1
"421010 Mafra";0;1;1;3;1;3;2;0;1;0;12
"421050 Maravilha";0;0;0;3;0;0;1;0;0;0;4
"421090 Modelo";0;1;2;0;0;0;0;0;0;0;3
"421100 Mondaí";0;0;0;0;0;0;1;0;0;0;1
"421120 Morro da Fumaça";0;1;0;1;0;0;0;0;0;0;2
"421130 Navegantes";1;2;0;10;3;3;7;1;0;0;27
"421150 Nova Trento";0;0;0;0;0;0;0;0;1;0;1
"421170 Orleans";0;0;0;0;1;0;1;0;0;0;2
"421175 Otacílio Costa";0;0;0;0;0;0;1;0;0;0;1
"421190 Palhoça";3;5;1;12;5;8;13;2;4;0;53
"421200 Palma Sola";0;0;0;0;0;0;1;0;0;0;1
"421250 Penha";0;2;0;1;3;1;2;0;0;0;9
"421280 Piçarras";0;1;0;3;0;1;0;0;0;0;5
"421290 Pinhalzinho";0;0;0;0;0;0;1;0;0;0;1
"421300 Pinheiro Preto";0;0;0;1;0;0;0;0;0;0;1
"421320 Pomerode";0;1;1;0;1;0;0;0;0;0;3
"421350 Porto Belo";0;0;0;0;0;1;0;0;1;0;2
"421360 Porto União";1;1;0;0;0;0;0;0;1;0;3
"421370 Pouso Redondo";0;0;0;0;1;0;0;0;0;0;1
"421400 Presidente Getúlio";0;0;0;1;1;0;0;0;0;0;2
"421480 Rio do Sul";0;6;1;19;4;4;7;2;4;0;47
"421470 Rio dos Cedros";0;0;1;0;0;0;0;0;0;0;1
"421500 Rio Negrinho";0;1;2;2;0;0;0;2;0;0;7
"421530 Salete";0;0;1;1;0;0;0;0;0;0;2
"421545 Sangão";0;0;0;1;0;0;0;0;0;0;1
"421550 Santa Cecília";0;0;0;2;0;0;0;0;0;0;2
"421570 Santo Amaro da Imperatriz";0;1;0;3;1;0;1;0;0;0;6
"421580 São Bento do Sul";0;3;2;3;2;0;3;1;0;0;14
