 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2015
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"420010 Abelardo Luz";2;0;0;0;0;0;2
"420100 Anita Garibaldi";1;0;0;0;0;0;1
"420110 Anitápolis";1;0;0;0;0;0;1
"420120 Antônio Carlos";1;0;0;0;0;0;1
"420125 Apiúna";2;0;0;1;0;0;3
"420130 Araquari";5;1;0;0;0;0;6
"420140 Araranguá";28;0;0;1;0;0;29
"420170 Ascurra";1;1;0;0;0;0;2
"420195 Balneário Arroio do Silva";7;1;0;0;0;0;8
"420205 Balneário Barra do Sul";3;0;0;0;0;0;3
"420200 Balneário Camboriú";82;4;1;3;0;0;90
"420207 Balneário Gaivota";4;0;0;0;0;0;4
"420210 Barra Velha";2;0;0;0;0;0;2
"420220 Benedito Novo";1;0;0;0;0;0;1
"420230 Biguaçu";33;2;0;0;0;0;35
"420240 Blumenau";120;9;0;13;1;0;143
"420260 Bom Retiro";1;0;0;1;0;0;2
"420245 Bombinhas";1;0;0;0;0;0;1
"420270 Botuverá";1;0;0;1;0;0;2
"420280 Braço do Norte";3;0;0;0;0;0;3
"420285 Braço do Trombudo";3;0;0;0;0;0;3
"420290 Brusque";39;2;0;4;0;0;45
"420300 Caçador";7;1;0;2;0;0;10
"420315 Calmon";1;0;0;0;0;0;1
"420320 Camboriú";27;0;0;6;0;0;33
"420330 Campo Alegre";1;0;0;1;0;0;2
"420350 Campo Erê";1;0;0;0;0;0;1
"420360 Campos Novos";5;0;0;0;0;0;5
"420380 Canoinhas";6;0;0;1;0;0;7
"420390 Capinzal";0;1;0;2;0;0;3
"420395 Capivari de Baixo";4;0;0;1;0;0;5
"420420 Chapecó";51;5;0;10;1;0;67
"420430 Concórdia";8;0;0;0;0;0;8
"420455 Correia Pinto";2;0;0;1;0;0;3
"420450 Corupá";4;0;0;0;0;0;4
"420460 Criciúma";81;11;0;4;0;0;96
"420470 Cunha Porã";1;0;0;0;0;0;1
"420480 Curitibanos";5;0;0;3;0;0;8
"420510 Dona Emma";1;0;0;0;0;0;1
"420517 Entre Rios";0;0;0;1;1;0;2
"420519 Ermo";1;0;0;0;0;0;1
"420530 Faxinal dos Guedes";1;0;0;0;0;0;1
"420540 Florianópolis";254;17;2;32;1;0;306
"420543 Formosa do Sul";1;0;0;0;0;0;1
"420545 Forquilhinha";4;0;0;0;0;0;4
"420550 Fraiburgo";4;0;0;0;0;0;4
"420570 Garopaba";5;0;0;0;0;0;5
"420580 Garuva";0;1;0;0;0;0;1
"420590 Gaspar";15;0;0;1;0;0;16
"420600 Governador Celso Ramos";2;0;0;0;0;0;2
"420620 Gravatal";1;0;0;0;0;0;1
"420630 Guabiruba";5;0;0;0;0;0;5
"420640 Guaraciaba";1;0;0;0;0;0;1
"420650 Guaramirim";9;0;0;0;0;0;9
"420665 Guatambú";0;0;0;1;0;0;1
"420670 Herval d'Oeste";5;2;0;0;0;0;7
"420680 Ibicaré";1;0;0;0;0;0;1
"420690 Ibirama";4;0;0;0;0;0;4
"420700 Içara";31;0;0;1;0;0;32
"420710 Ilhota";1;0;0;0;0;0;1
"420720 Imaruí";1;0;0;0;0;0;1
"420730 Imbituba";17;1;0;0;0;0;18
"420750 Indaial";17;2;0;0;0;0;19
"420765 Iporã do Oeste";1;0;0;0;0;0;1
"420780 Irani";2;0;0;0;0;0;2
"420810 Itaiópolis";1;0;0;0;0;0;1
"420820 Itajaí";125;12;1;9;0;1;148
"420830 Itapema";29;4;0;0;0;0;33
"420845 Itapoá";1;0;0;0;0;0;1
"420850 Ituporanga";5;0;0;0;0;0;5
"420880 Jaguaruna";1;0;0;0;0;0;1
"420890 Jaraguá do Sul";43;2;0;5;0;0;50
"420900 Joaçaba";6;1;0;1;0;0;8
"420910 Joinville";185;10;0;20;0;0;215
"420930 Lages";50;2;0;14;0;0;66
"420940 Laguna";11;0;0;1;0;0;12
"420960 Lauro Muller";4;0;0;0;0;0;4
"420970 Lebon Régis";1;0;0;0;0;0;1
"421000 Luiz Alves";1;0;0;0;0;0;1
"421003 Luzerna";1;0;0;0;0;0;1
"421005 Macieira";1;0;0;0;0;0;1
"421010 Mafra";15;0;0;0;0;0;15
"421050 Maravilha";3;0;1;0;0;0;4
"421090 Modelo";3;0;0;0;0;0;3
"421100 Mondaí";3;0;0;0;0;0;3
"421120 Morro da Fumaça";3;0;0;0;0;0;3
"421130 Navegantes";15;7;0;8;0;0;30
"421150 Nova Trento";1;0;0;0;0;0;1
"421170 Orleans";1;0;0;1;0;0;2
"421175 Otacílio Costa";1;0;0;0;0;0;1
"421190 Palhoça";58;5;0;5;0;0;68
"421200 Palma Sola";1;1;0;0;0;0;2
"421250 Penha";8;1;0;0;0;0;9
"421280 Piçarras";5;0;0;0;0;0;5
"421290 Pinhalzinho";1;0;0;0;0;0;1
"421300 Pinheiro Preto";1;0;0;0;0;0;1
"421320 Pomerode";2;1;0;1;0;0;4
"421350 Porto Belo";2;0;0;0;0;0;2
"421360 Porto União";3;0;0;0;0;0;3
"421370 Pouso Redondo";1;0;0;0;0;0;1
"421400 Presidente Getúlio";2;0;0;0;0;0;2
"421480 Rio do Sul";41;5;0;1;1;0;48
"421470 Rio dos Cedros";1;0;0;0;0;0;1
"421500 Rio Negrinho";7;0;0;0;0;0;7
"421530 Salete";2;0;0;0;0;0;2
"421545 Sangão";1;0;0;0;0;0;1
"421550 Santa Cecília";1;0;0;1;0;0;2
"421570 Santo Amaro da Imperatriz";7;0;0;0;0;0;7
"421580 São Bento do Sul";12;0;0;2;0;0;14
"421620 São Francisco do Sul";22;2;1;1;0;0;26
"421630 São João Batista";5;0;0;0;0;0;5
"421625 São João do Oeste";1;0;0;0;0;0;1
"421640 São João do Sul";1;0;0;0;0;0;1
"421650 São Joaquim";3;0;0;1;0;0;4
"421660 São José";99;12;0;10;0;0;121
"421670 São José do Cedro";2;0;0;0;0;0;2
"421690 São Lourenço do Oeste";1;0;0;0;0;0;1
"421720 São Miguel do Oeste";4;0;1;0;0;0;5
"421725 São Pedro de Alcântara";2;0;0;0;0;0;2
"421740 Schroeder";2;0;0;0;0;0;2
"421750 Seara";0;2;0;0;0;0;2
"421760 Siderópolis";2;0;0;0;0;0;2
"421770 Sombrio";5;0;0;2;0;0;7
"421775 Sul Brasil";1;0;0;0;0;0;1
"421780 Taió";1;0;0;0;0;0;1
"421800 Tijucas";17;0;0;0;0;0;17
"421820 Timbó";6;0;0;0;0;0;6
"421870 Tubarão";52;9;1;4;0;0;66
"421875 Tunápolis";1;0;0;0;0;0;1
"421880 Turvo";1;0;0;0;0;0;1
"421885 União do Oeste";0;0;0;1;0;0;1
"421900 Urussanga";6;1;0;0;0;0;7
"421930 Videira";8;1;0;1;0;0;10
"421950 Xanxerê";9;0;0;2;1;0;12
"421970 Xaxim";0;1;0;0;0;0;1
"Total";1846;140;8;182;6;1;2183
