 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2022
Ano Notificação: 2022
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"420010 Abelardo Luz";0;0;0;0;2;0;0;0;0;2
"420050 Águas de Chapecó";0;0;0;0;1;0;0;0;0;1
"420060 Águas Mornas";0;1;0;2;0;0;0;0;0;3
"420125 Apiúna";0;1;0;0;2;0;0;0;0;3
"420130 Araquari";0;0;0;1;0;0;3;0;0;4
"420140 Araranguá";0;3;2;5;1;2;3;0;0;16
"420170 Ascurra";0;0;0;1;0;0;0;0;0;1
"420195 Balneário Arroio do Silva";0;0;0;2;2;0;0;0;0;4
"420205 Balneário Barra do Sul";0;0;0;1;0;1;1;0;1;4
"420200 Balneário Camboriú";0;1;1;4;7;6;24;5;16;64
"420207 Balneário Gaivota";0;1;0;0;0;0;0;0;0;1
"420210 Barra Velha";0;0;2;0;2;3;0;0;2;9
"420230 Biguaçu";0;5;2;1;1;2;8;2;1;22
"420240 Blumenau";0;4;8;9;8;8;38;6;12;93
"420250 Bom Jardim da Serra";0;0;0;0;0;0;1;0;0;1
"420260 Bom Retiro";0;0;0;0;0;0;1;0;0;1
"420245 Bombinhas";0;0;0;0;1;3;1;0;0;5
"420270 Botuverá";0;0;0;2;0;0;0;0;0;2
"420280 Braço do Norte";0;0;0;1;1;0;0;0;1;3
"420287 Brunópolis";0;0;0;1;0;0;0;0;0;1
"420290 Brusque";1;3;0;2;3;6;18;2;8;43
"420300 Caçador";0;1;3;3;2;3;6;0;0;18
"420320 Camboriú";0;3;2;5;4;5;7;3;2;31
"420330 Campo Alegre";0;0;0;1;0;0;0;0;0;1
"420350 Campo Erê";0;1;0;0;0;0;0;0;0;1
"420360 Campos Novos";0;0;2;1;1;0;0;0;1;5
"420370 Canelinha";0;0;0;0;0;0;0;1;0;1
"420380 Canoinhas";0;0;0;2;0;0;0;0;3;5
"420390 Capinzal";0;1;0;1;0;0;0;0;1;3
"420395 Capivari de Baixo";0;0;0;1;0;0;0;0;1;2
